keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
jfouq,mserp,bvylx,zhtc_,wanig,kd___,ginawpresm,19.9916,9.41%,5.87%,24.67%,34.52%,54.16%,45.84%,51.43%,48.57%,8252427.60,4469143.00,3783284.60,2563896,2421796,1721182,1230031,1183133,1081377
qfouj,presm,bvylx,zhtc_,wanig,kd___,ginawmserp,19.9871,9.41%,5.87%,24.67%,34.52%,54.18%,45.82%,51.43%,48.57%,8257292.50,4474007.90,3783284.60,2563896,2421796,1721182,1230031,1183133,1081377
jfoux,mserp,bvylq,zhtc_,wanig,kd___,ginawpresm,19.9830,9.41%,5.87%,24.81%,34.52%,54.17%,45.83%,51.43%,48.57%,8254998.20,4471713.60,3783284.60,2563896,2421796,1721182,1236749,1183133,1081377
qfoux,mserp,bvylj,zhtc_,wanig,kd___,ginawpresm,19.9822,9.41%,5.87%,24.89%,34.52%,54.15%,45.85%,51.43%,48.57%,8251532.10,4468247.50,3783284.60,2563896,2421796,1721182,1241089,1183133,1081377
qfouj,mserp,xvylb,khtc_,wanig,zd___,ginawpresm,19.9793,9.41%,5.87%,24.40%,34.52%,54.39%,45.61%,51.43%,48.57%,8279001.20,4502665.40,3776335.80,2563896,2421796,1721182,1216741,1183133,1081377
qfouj,mserp,xvylb,zhtc_,wanig,kd___,ginawpresm,19.9605,9.41%,5.87%,24.67%,34.52%,54.34%,45.66%,51.43%,48.57%,8285950.00,4502665.40,3783284.60,2563896,2421796,1721182,1230031,1183133,1081377
qmouj,pserf,vbylx,zhtc_,winag,kd___,ganiwfresp,19.9544,9.41%,5.87%,25.96%,34.52%,54.31%,45.69%,51.43%,48.57%,8228214.60,4468578.10,3759636.50,2563896,2421796,1721182,1294375,1183133,1081377
_fly_,droep,wbmuq,_htc_,kinas,jgvxz,sanikpeord,19.9411,9.83%,3.96%,24.09%,34.26%,51.79%,48.21%,48.99%,51.01%,8493292.40,4398858.90,4094433.50,2442527,2543165,1708281,1200808,1079840,1197571
xhtzq,wrsep,_ybl_,judc_,maion,_gkfv,noiampesrw,19.9255,8.74%,1.09%,23.09%,36.03%,44.36%,55.64%,50.27%,49.73%,8861885.80,3931237.70,4930648.10,2506399,2479293,1796426,1151098,1044615,1144651
xmsuq,preob,vyflj,khtc_,wanig,zd___,ginawboerp,19.9055,9.41%,5.87%,25.10%,34.52%,54.63%,45.37%,51.43%,48.57%,8323970.60,4547634.80,3776335.80,2563896,2421796,1721182,1251556,1183133,1081377
