keys_1, keys_2, keys_3, keys_4, keys_5, keys_6, fitness, count_ratio, effort, left_effort, left_effort_ratio, left_count, left_count_ratio, right_effort, right_effort_ratio, right_count, right_count_ratio, bigram_switches, switch_ratio, row_switch_cost, row_switch_ratio
qusbj, laerp, _vymx, _htg_, finoc, zdwk_, 1.5403, 1.00, 53563288875.10, 27242503513.80, 50.86%, 8625028987, 49.93%, 26320785361.30, 49.14%, 8647981466, 50.07%, 5976078597, 34.60%, 3991553838, 23.11%
qcsuk, lnaig, jbydz, wfom_, vterh, xp___, 1.5403, 1.02, 54015481721.20, 29041106078.40, 53.76%, 8734927098, 50.57%, 24974375642.80, 46.24%, 8538083355, 49.43%, 6070846075, 35.15%, 3601696975, 20.85%
_uspq, laerb, xyvm_, kfocj, wtnih, zdg__, 1.5403, 0.99, 53474655257.20, 27045363873.40, 50.58%, 8585268188, 49.70%, 26429291383.80, 49.42%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
_uspq, laerb, xvym_, kfocz, wtnih, jdg__, 1.5402, 0.99, 53448681240.70, 26992561650.60, 50.50%, 8585268188, 49.70%, 26456119590.10, 49.50%, 8687742265, 50.30%, 5989545868, 34.68%, 4064396184, 23.53%
qusbj, laerp, _kymx, _htg_, finoc, zdwv_, 1.5401, 0.98, 53571455299.40, 26859010536.80, 50.14%, 8567914566, 49.60%, 26712444762.60, 49.86%, 8705095887, 50.40%, 6025455871, 34.88%, 3955749011, 22.90%
qcsuk, lniag, jbydz, wfom_, vterh, xp___, 1.5401, 1.02, 54021456919.70, 29047081276.90, 53.77%, 8734927098, 50.57%, 24974375642.80, 46.23%, 8538083355, 49.43%, 6070846075, 35.15%, 3601696975, 20.85%
_uspq, laerb, xyvm_, kfocj, wtinh, zdg__, 1.5401, 0.99, 53479912447.50, 27045363873.40, 50.57%, 8585268188, 49.70%, 26434548574.10, 49.43%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
_uspq, laerb, xvym_, kfocz, wtinh, jdg__, 1.5401, 0.99, 53453938431.00, 26992561650.60, 50.50%, 8585268188, 49.70%, 26461376780.40, 49.50%, 8687742265, 50.30%, 5989545868, 34.68%, 4064396184, 23.53%
qcsuk, lnaig, zbydj, wfom_, vterh, xp___, 1.5399, 1.02, 54028610284.70, 29054234641.90, 53.78%, 8734927098, 50.57%, 24974375642.80, 46.22%, 8538083355, 49.43%, 6070846075, 35.15%, 3601696975, 20.85%
_usbq, laerp, xvym_, kfocz, wtnih, jdg__, 1.5399, 0.99, 53519593304.90, 27063473714.80, 50.57%, 8585268188, 49.70%, 26456119590.10, 49.43%, 8687742265, 50.30%, 5989545868, 34.68%, 4022500143, 23.29%
_uspq, laerb, vxym_, kfocj, wtnih, zdg__, 1.5399, 0.99, 53488753068.40, 27059461684.60, 50.59%, 8585268188, 49.70%, 26429291383.80, 49.41%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
xmspq, lreav, _ybdj, _htw_, fionc, zugk_, 1.5398, 1.04, 53345768247.80, 28057983354.70, 52.60%, 8805425180, 50.98%, 25287784893.10, 47.40%, 8467585273, 49.02%, 5924865421, 34.30%, 4127763976, 23.90%
_uspq, laerb, xvym_, jfock, wtnih, zdg__, 1.5397, 0.99, 53492837111.10, 26992561650.60, 50.46%, 8585268188, 49.70%, 26500275460.50, 49.54%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
_usbq, laerp, xvym_, kfocz, wtinh, jdg__, 1.5397, 0.99, 53524850495.20, 27063473714.80, 50.56%, 8585268188, 49.70%, 26461376780.40, 49.44%, 8687742265, 50.30%, 5989545868, 34.68%, 4022500143, 23.29%
_uspq, laerb, vxym_, kfocj, wtinh, zdg__, 1.5397, 0.99, 53494010258.70, 27059461684.60, 50.58%, 8585268188, 49.70%, 26434548574.10, 49.42%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
_usbq, laerp, xyvm_, kfocj, wtnih, zdg__, 1.5397, 0.99, 53552438286.60, 27123146902.80, 50.65%, 8585268188, 49.70%, 26429291383.80, 49.35%, 8687742265, 50.30%, 5989545868, 34.68%, 4003339259, 23.18%
_uspq, laerb, xvym_, jfock, wtinh, zdg__, 1.5396, 0.99, 53498094301.40, 26992561650.60, 50.46%, 8585268188, 49.70%, 26505532650.80, 49.54%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
qmspx, lreav, _ybdj, _htw_, fionc, zugk_, 1.5396, 1.04, 53352924686.80, 28065139793.70, 52.60%, 8805425180, 50.98%, 25287784893.10, 47.40%, 8467585273, 49.02%, 5924865421, 34.30%, 4127763976, 23.90%
_usbq, laerp, xyvm_, kfocj, wtinh, zdg__, 1.5395, 0.99, 53557695476.90, 27123146902.80, 50.64%, 8585268188, 49.70%, 26434548574.10, 49.36%, 8687742265, 50.30%, 5989545868, 34.68%, 4003339259, 23.18%
qcsuk, lniag, zbydj, wfom_, vterh, xp___, 1.5394, 1.02, 54046202578.80, 29071826936.00, 53.79%, 8734927098, 50.57%, 24974375642.80, 46.21%, 8538083355, 49.43%, 6070846075, 35.15%, 3601696975, 20.85%
_uspq, laerv, xbym_, kfocj, wtnih, zdg__, 1.5394, 0.99, 53499899813.80, 27070608430.00, 50.60%, 8585268188, 49.70%, 26429291383.80, 49.40%, 8687742265, 50.30%, 5989545868, 34.68%, 4049125968, 23.44%
_usbq, laerp, xvym_, jfock, wtnih, zdg__, 1.5394, 0.99, 53563749175.30, 27063473714.80, 50.53%, 8585268188, 49.70%, 26500275460.50, 49.47%, 8687742265, 50.30%, 5989545868, 34.68%, 4003339259, 23.18%
_uspq, laerv, xbym_, kfocj, wtinh, zdg__, 1.5392, 0.99, 53505157004.10, 27070608430.00, 50.59%, 8585268188, 49.70%, 26434548574.10, 49.41%, 8687742265, 50.30%, 5989545868, 34.68%, 4049125968, 23.44%
_usbq, laerp, xvym_, jfock, wtinh, zdg__, 1.5392, 0.99, 53569006365.60, 27063473714.80, 50.52%, 8585268188, 49.70%, 26505532650.80, 49.48%, 8687742265, 50.30%, 5989545868, 34.68%, 4003339259, 23.18%
_uspx, laerb, qvym_, kfocj, wtnih, zdg__, 1.5390, 0.99, 53491187361.10, 27061895977.30, 50.59%, 8585268188, 49.70%, 26429291383.80, 49.41%, 8687742265, 50.30%, 5989545868, 34.68%, 4063833604, 23.53%
_uspx, laerb, qvym_, kfocj, wtinh, zdg__, 1.5389, 0.99, 53496444551.40, 27061895977.30, 50.59%, 8585268188, 49.70%, 26434548574.10, 49.41%, 8687742265, 50.30%, 5989545868, 34.68%, 4063833604, 23.53%
_msyx, lreap, kvbu_, jfocz, wtinh, qdg__, 1.5388, 1.01, 53305626614.40, 27766115323.50, 52.09%, 8696989710, 50.35%, 25539511290.90, 47.91%, 8576020743, 49.65%, 5984309446, 34.65%, 4205932553, 24.35%
_msyx, lreap, kvbu_, jfocz, wtnih, qdg__, 1.5387, 1.01, 53306556230.60, 27766115323.50, 52.09%, 8696989710, 50.35%, 25540440907.10, 47.91%, 8576020743, 49.65%, 5984309446, 34.65%, 4205932553, 24.35%
_msyx, lreap, kvbu_, zfocj, wtnih, qdg__, 1.5387, 1.01, 53307098378.30, 27766115323.50, 52.09%, 8696989710, 50.35%, 25540983054.80, 47.91%, 8576020743, 49.65%, 5984309446, 34.65%, 4205932553, 24.35%
_uspq, laerv, xybm_, kfocj, wtnih, zdg__, 1.5386, 0.99, 53526994506.40, 27097703122.60, 50.62%, 8585268188, 49.70%, 26429291383.80, 49.38%, 8687742265, 50.30%, 5989545868, 34.68%, 4049125968, 23.44%
_wth_, canig, xkvdz, jfom_, presu, qlby_, 1.5386, 0.99, 53590083461.20, 25936744589.10, 48.40%, 8611981635, 49.86%, 27653338872.10, 51.60%, 8661028818, 50.14%, 6043087244, 34.99%, 3981211840, 23.05%
_uspq, laerv, xybm_, kfocj, wtinh, zdg__, 1.5384, 0.99, 53532251696.70, 27097703122.60, 50.62%, 8585268188, 49.70%, 26434548574.10, 49.38%, 8687742265, 50.30%, 5989545868, 34.68%, 4049125968, 23.44%
_uspq, laerb, xvym_, zfock, wtnih, jdg__, 1.5382, 0.99, 53520225368.00, 26992561650.60, 50.43%, 8585268188, 49.70%, 26527663717.40, 49.57%, 8687742265, 50.30%, 5989545868, 34.68%, 4064396184, 23.53%
_uspq, laerb, vxym_, kfocz, wtinh, jdg__, 1.5382, 0.99, 53520838465.00, 27059461684.60, 50.56%, 8585268188, 49.70%, 26461376780.40, 49.44%, 8687742265, 50.30%, 5989545868, 34.68%, 4064396184, 23.53%
_usbq, laerp, xyvm_, kfocz, wtnih, jdg__, 1.5382, 0.99, 53579266492.90, 27123146902.80, 50.62%, 8585268188, 49.70%, 26456119590.10, 49.38%, 8687742265, 50.30%, 5989545868, 34.68%, 4022500143, 23.29%
_usbq, laerp, xvym_, zfock, wtnih, jdg__, 1.5378, 0.99, 53591137432.20, 27063473714.80, 50.50%, 8585268188, 49.70%, 26527663717.40, 49.50%, 8687742265, 50.30%, 5989545868, 34.68%, 4022500143, 23.29%
_msyx, lreap, jvbu_, kfocz, wtinh, qdg__, 1.5377, 0.99, 53424032857.00, 27029866945.30, 50.59%, 8607819388, 49.83%, 26394165911.70, 49.41%, 8665191065, 50.17%, 5996457207, 34.72%, 4145734140, 24.00%
_msyx, lraep, kbvu_, qfocj, wtnih, zdg__, 1.5377, 1.01, 53336523932.70, 27789982006.20, 52.10%, 8696989710, 50.35%, 25546541926.50, 47.90%, 8576020743, 49.65%, 5984309446, 34.65%, 4209897637, 24.37%
_usbq, laerp, xvym_, zfock, wtinh, jdg__, 1.5377, 0.99, 53596394622.50, 27063473714.80, 50.49%, 8585268188, 49.70%, 26532920907.70, 49.51%, 8687742265, 50.30%, 5989545868, 34.68%, 4022500143, 23.29%
_mofw, laerp, xvyb_, qhtc_, kinsu, _dgjz, 1.5377, 1.08, 53305796034.40, 27449658206.50, 51.49%, 8950230768, 51.82%, 25856137827.90, 48.51%, 8322779685, 48.18%, 6134711316, 35.52%, 3946309804, 22.85%
_mofw, laerp, xvyb_, qhtc_, kinsu, _dgzj, 1.5376, 1.08, 53306483291.70, 27449658206.50, 51.49%, 8950230768, 51.82%, 25856825085.20, 48.51%, 8322779685, 48.18%, 6134711316, 35.52%, 3946309804, 22.85%
_uspq, laerb, xvym_, zfocj, wtnih, kdg__, 1.5376, 0.99, 53475222827.10, 26992561650.60, 50.48%, 8585268188, 49.70%, 26482661176.50, 49.52%, 8687742265, 50.30%, 5989545868, 34.68%, 4112407990, 23.81%
_msyx, lraep, kvbu_, qfocj, wtnih, zdg__, 1.5375, 1.01, 53343095847.50, 27796553921.00, 52.11%, 8696989710, 50.35%, 25546541926.50, 47.89%, 8576020743, 49.65%, 5984309446, 34.65%, 4209897637, 24.37%
_uspx, laerb, qvym_, kfocz, wtnih, jdg__, 1.5375, 0.99, 53518015567.40, 27061895977.30, 50.57%, 8585268188, 49.70%, 26456119590.10, 49.43%, 8687742265, 50.30%, 5989545868, 34.68%, 4082994488, 23.64%
_mofw, laerp, xvby_, qhtc_, kinsu, _dgjz, 1.5374, 1.08, 53314236083.90, 27458098256.00, 51.50%, 8950230768, 51.82%, 25856137827.90, 48.50%, 8322779685, 48.18%, 6134711316, 35.52%, 3946309804, 22.85%
_mofw, laerp, xvby_, qhtc_, kinsu, _dgzj, 1.5374, 1.08, 53314923341.20, 27458098256.00, 51.50%, 8950230768, 51.82%, 25856825085.20, 48.50%, 8322779685, 48.18%, 6134711316, 35.52%, 3946309804, 22.85%
_psuq, laerb, xvym_, kfocj, wtinh, zdg__, 1.5374, 0.99, 53574574744.30, 27140026170.20, 50.66%, 8585268188, 49.70%, 26434548574.10, 49.34%, 8687742265, 50.30%, 5989545868, 34.68%, 4045235300, 23.42%
_usbq, laerp, xvym_, jfocz, wtnih, kdg__, 1.5372, 0.99, 53545564249.10, 27063473714.80, 50.54%, 8585268188, 49.70%, 26482090534.30, 49.46%, 8687742265, 50.30%, 5989545868, 34.68%, 4070511949, 23.57%
_usbq, laerp, xvym_, zfocj, wtnih, kdg__, 1.5372, 0.99, 53546134891.30, 27063473714.80, 50.54%, 8585268188, 49.70%, 26482661176.50, 49.46%, 8687742265, 50.30%, 5989545868, 34.68%, 4070511949, 23.57%
xmofw, laerp, _vby_, qhtc_, kinsu, _dgjz, 1.5366, 1.08, 53351425988.50, 27495288160.60, 51.54%, 8950230768, 51.82%, 25856137827.90, 48.46%, 8322779685, 48.18%, 6134711316, 35.52%, 3940520940, 22.81%
xmofw, laerp, _vby_, qhtc_, kinsu, _dgzj, 1.5365, 1.08, 53352113245.80, 27495288160.60, 51.54%, 8950230768, 51.82%, 25856825085.20, 48.46%, 8322779685, 48.18%, 6134711316, 35.52%, 3940520940, 22.81%
_wth_, isnag, zkvc_, qbumj, poerl, _dyfx, 1.5364, 1.10, 53020345333.60, 26595058142.40, 50.16%, 9032057053, 52.29%, 26425287191.20, 49.84%, 8240953400, 47.71%, 5831057777, 33.76%, 4206710973, 24.35%
_mofw, laerp, xvby_, qhtc_, ginsu, _dkjz, 1.5364, 1.08, 53609671521.80, 27458098256.00, 51.22%, 8950230768, 51.82%, 26151573265.80, 48.78%, 8322779685, 48.18%, 6134711316, 35.52%, 3758754032, 21.76%
_uspj, laerb, xvym_, zfock, wtnih, qdg__, 1.5364, 0.99, 53602382078.40, 27141328760.80, 50.63%, 8607819388, 49.83%, 26461053317.60, 49.37%, 8665191065, 50.17%, 5996457207, 34.72%, 4050651736, 23.45%
_usbx, laerp, vkym_, jfocz, wtinh, qdg__, 1.5363, 1.01, 53575513423.70, 28036002132.80, 52.33%, 8696989710, 50.35%, 25539511290.90, 47.67%, 8576020743, 49.65%, 5984309446, 34.65%, 4072352965, 23.58%
