keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
jpofx,lseru,zkyd_,_htgq,winac,_bmv_,#05 #4 r +0.5,3.952493,21.95%,→000.06%,36.41%,←002.88%,55073102412.86,←000.01%,→000.24%,1.77,→002.34%,1.75,1.79,06.15% │ 09.57% │ 17.06% │ 12.54% │ 04.68%,02.18% │ 14.92% │ 15.91% │ 12.73% │ 04.26%,04.63% │ 09.34% │ 21.23% │ 12.54% │ 02.97%,03.43% │ 11.40% │ 18.89% │ 13.89% │ 01.69%,←044.34% │ →024.82% │ ←007.20% │ →015.93% │ ←115.23%,32.35% │ 52.47% │ 15.18%,→021.60% │ ←009.27% │ ←023.54%,50.00%,50.00%,50.71%,49.29%,27538008953.08,27535093459.78,8758921084,8514089369,6289157477,1894770571,1895944545,3754827857,3763914321
pmsuj,hrtek,__vgx,wfocq,lnaid,zby__,hrteklnaid,3.743546,19.05%,→000.63%,35.78%,←000.99%,57432673602.86,→000.68%,→001.52%,1.79,→001.97%,1.77,1.81,09.69% │ 09.00% │ 12.16% │ 17.30% │ 01.68%,08.90% │ 09.81% │ 15.32% │ 11.34% │ 04.81%,06.83% │ 09.13% │ 16.32% │ 16.80% │ 01.17%,03.92% │ 10.92% │ 17.53% │ 11.30% │ 06.09%,←101.53% │ →020.58% │ →020.64% │ ←076.35% │ →081.13%,34.77% │ 56.61% │ 08.61%,→003.12% │ ←002.10% │ →008.43%,49.83%,50.17%,50.25%,49.75%,28618343260.93,28814330341.93,8678862916,8594147537,6179427300,1639964649,1650325059,3785044346,3843428009
yofuw,gieap,__jk_,zmrcq,btnsh,xdlv_,#07 #6 ms -0.5,3.154865,12.19%,→000.06%,54.17%,→004.22%,53106787357.74,→000.00%,←000.82%,1.35,←001.80%,1.36,1.34,05.92% │ 17.16% │ 08.81% │ 12.02% │ 06.09%,02.75% │ 14.72% │ 14.90% │ 11.15% │ 06.49%,03.75% │ 15.15% │ 14.39% │ 11.80% │ 03.84%,04.78% │ 10.85% │ 18.29% │ 15.22% │ 01.94%,→008.70% │ ←053.86% │ →040.88% │ →018.29% │ ←121.72%,37.31% │ 49.29% │ 13.40%,←056.96% │ ←010.47% │ →088.91%,50.00%,50.00%,48.92%,51.08%,26552827628.27,26553959729.47,8450152049,8822858404,9355940870,1052406464,1053020712,2235051751,2216907034
_pou_,gieak,_qxy_,vcrfz,wtnsh,jdlmb,#42 #00 sw: +0.3,2.881222,11.01%,→031.89%,56.70%,→017.83%,50486079763.89,→031.61%,→032.46%,1.30,→005.67%,1.26,1.34,02.80% │ 09.69% │ 14.22% │ 12.76% │ 01.15%,04.66% │ 16.72% │ 15.92% │ 12.30% │ 09.79%,02.05% │ 09.83% │ 19.72% │ 12.75% │ 00.75%,06.43% │ 11.24% │ 18.29% │ 15.95% │ 03.00%,→071.42% │ →021.22% │ →010.69% │ →023.66% │ →075.36%,31.49% │ 47.93% │ 20.58%,→009.14% │ →009.04% │ →084.31%,40.61%,59.39%,45.10%,54.90%,20504501012.28,29981578751.61,7790949554,9482060899,9794245453,770374493,1131035678,1618070761,2395583441
dqo__,shepu,jxyaz,vwclg,mnitb,__frk,#btinmupehs,2.390973,19.21%,→000.00%,47.49%,←000.12%,59601336700.29,←000.00%,←000.16%,1.48,←000.02%,1.48,1.48,15.00% │ 03.74% │ 15.75% │ 11.28% │ 04.24%,04.92% │ 06.37% │ 11.64% │ 20.16% │ 06.92%,10.50% │ 04.97% │ 21.23% │ 10.42% │ 02.91%,04.42% │ 19.59% │ 13.10% │ 09.18% │ 03.68%,←116.64% │ →081.46% │ ←035.29% │ ←077.24% │ →013.82%,30.13% │ 45.63% │ 24.24%,→010.27% │ ←005.02% │ ←004.33%,50.00%,50.00%,50.03%,49.97%,29800740334.40,29800596365.89,8641505130,8631505323,8202324043,1659219688,1659285093,2805041158,2800534454
jfux_,saerm,kypl_,_htw_,ginoc,qdbvz,#conigmreas!,2.215268,19.98%,←000.05%,36.99%,←000.28%,55219448834.54,→000.02%,←000.42%,1.75,←000.10%,1.75,1.75,09.93% │ 12.78% │ 13.34% │ 10.28% │ 03.67%,03.16% │ 17.30% │ 14.11% │ 11.20% │ 04.25%,07.42% │ 12.16% │ 16.89% │ 10.99% │ 02.60%,03.46% │ 10.33% │ 17.90% │ 16.09% │ 02.15%,←133.98% │ ←014.13% │ →005.49% │ →040.58% │ ←016.34%,23.38% │ 56.21% │ 20.41%,→061.14% │ ←026.06% │ ←045.83%,50.00%,50.00%,50.07%,49.93%,27607277701.07,27612171133.47,8648546216,8624464237,6388662007,1725843760,1724906182,3717349923,3701887725
quodf,maery,___wk,jhtcx,pinsl,_gbvz,#maerypinsl,2.161646,18.61%,→000.07%,40.62%,→000.15%,53953558577.96,→000.39%,←001.04%,1.65,←000.77%,1.65,1.64,03.71% │ 11.36% │ 14.56% │ 12.61% │ 07.66%,03.26% │ 15.57% │ 14.01% │ 11.13% │ 06.11%,02.70% │ 11.05% │ 19.53% │ 12.04% │ 04.64%,04.59% │ 10.85% │ 17.90% │ 14.32% │ 02.38%,→039.27% │ ←002.02% │ ←003.89% │ →019.00% │ ←134.58%,41.57% │ 48.75% │ 09.68%,←004.71% │ ←006.13% │ →042.37%,49.90%,50.10%,49.96%,50.04%,26923831009.41,27029727568.55,8629992269,8643018184,7015964841,1607147902,1608214729,3413492627,3378442187
_pou_,gieaq,_xky_,bdrlz,fstnc,jhmwv,#00,1.721047,13.50%,→042.06%,56.70%,→017.83%,50454368536.11,→031.61%,→032.46%,1.30,→005.67%,1.26,1.34,02.80% │ 09.89% │ 15.04% │ 12.73% │ 00.15%,06.32% │ 17.04% │ 15.20% │ 14.27% │ 06.55%,02.05% │ 09.93% │ 20.28% │ 12.75% │ 00.10%,04.53% │ 13.45% │ 17.93% │ 14.95% │ 04.04%,→057.29% │ →030.71% │ →001.03% │ →025.31% │ →097.57%,36.69% │ 45.21% │ 18.10%,→030.69% │ →006.36% │ →074.02%,40.61%,59.39%,45.10%,54.90%,20491533293.90,29962835242.21,7790949554,9482060899,9794245453,855389775,1476447714,1618070761,2395583441
xpof_,userm,zbyl_,jhtw_,kinac,_dvgq,#57 #55 ri: 0.3,1.162216,24.18%,←000.06%,35.15%,←000.53%,55147176659.16,→000.35%,→000.71%,1.81,→001.00%,1.80,1.82,04.55% │ 10.83% │ 17.59% │ 13.19% │ 03.76%,01.46% │ 17.37% │ 14.06% │ 12.96% │ 04.23%,03.10% │ 10.21% │ 21.23% │ 12.98% │ 02.60%,03.43% │ 12.01% │ 17.36% │ 16.09% │ 00.98%,←007.41% │ →016.43% │ ←025.09% │ →024.08% │ ←157.57%,31.72% │ 48.93% │ 19.34%,→018.42% │ ←006.45% │ ←017.00%,49.91%,50.09%,50.13%,49.87%,27525704529.44,27621472129.72,8659413575,8613596878,6071881671,2088840187,2087525037,3854246797,3881771187
jpofw,userm,_vkdx,_htcq,yinal,_gbz_,#36 #32 r: +0.5,1.144403,22.31%,←002.43%,35.38%,→000.07%,55218804916.04,→000.13%,→006.31%,1.80,→005.05%,1.76,1.85,04.26% │ 10.05% │ 16.72% │ 12.11% │ 06.82%,02.64% │ 14.65% │ 14.44% │ 12.61% │ 05.68%,03.01% │ 09.67% │ 20.28% │ 12.54% │ 04.49%,04.37% │ 11.73% │ 17.90% │ 14.32% │ 01.70%,→025.08% │ →020.29% │ ←015.78% │ →017.33% │ ←158.29%,36.03% │ 51.92% │ 12.05%,→013.04% │ →001.27% │ ←060.05%,49.97%,50.03%,49.98%,50.02%,27591883260.81,27626921655.23,8633287311,8639723142,6110928156,1949714372,1903449653,3723070995,3973900504
_upwj,saerm,_kflz,_htcx,vinod,_gbyq,#10 #5 | #12 #10 ms+0.1,0.728165,19.87%,←000.04%,37.78%,→000.02%,55035445807.97,→000.03%,←000.23%,1.73,←000.18%,1.73,1.73,08.34% │ 12.77% │ 12.39% │ 12.22% │ 04.27%,01.54% │ 14.87% │ 13.98% │ 14.40% │ 05.22%,06.45% │ 11.80% │ 16.30% │ 12.49% │ 02.96%,04.11% │ 12.59% │ 17.90% │ 14.32% │ 01.08%,←059.79% │ →011.29% │ →011.38% │ →017.80% │ ←177.06%,27.74% │ 55.86% │ 16.40%,→054.15% │ ←032.79% │ ←034.58%,49.99%,50.01%,49.99%,50.01%,27514140174.88,27521305633.09,8635493598,8637516855,6525107119,1716821140,1716056148,3645543475,3637249061
qpof_,userm,_bylx,_dng_,kitac,jhwvz,#31 #25 ms: +0.6,0.705105,26.37%,→013.37%,35.00%,←000.41%,55051369272.39,→000.17%,→001.01%,1.82,→001.16%,1.81,1.83,04.25% │ 10.86% │ 17.54% │ 13.21% │ 04.10%,01.47% │ 17.07% │ 14.82% │ 12.32% │ 04.36%,02.88% │ 10.21% │ 21.23% │ 12.98% │ 02.80%,03.46% │ 11.40% │ 17.98% │ 16.09% │ 00.98%,→002.52% │ →011.87% │ ←018.35% │ →022.61% │ ←178.81%,29.81% │ 49.82% │ 20.37%,→010.78% │ ←003.45% │ ←007.85%,49.96%,50.04%,50.10%,49.90%,27502940136.66,27548429135.73,8654387243,8618623210,6045305481,2114165679,2440451852,3861665877,3900928297
zpof_,userm,_bylx,_htcq,kinag,_dwvj,#55 #54 ms: 0.5,0.136794,24.35%,←000.13%,35.15%,←000.53%,55135410891.37,→000.43%,→000.71%,1.81,→001.00%,1.80,1.82,04.15% │ 10.84% │ 17.60% │ 13.19% │ 04.10%,01.11% │ 17.34% │ 14.55% │ 13.96% │ 03.16%,02.91% │ 10.21% │ 21.23% │ 12.98% │ 02.80%,02.38% │ 12.67% │ 17.98% │ 16.09% │ 00.75%,←031.68% │ →022.32% │ ←020.99% │ →023.89% │ ←269.72%,33.46% │ 47.58% │ 18.96%,→027.32% │ ←013.06% │ ←025.76%,49.89%,50.11%,50.13%,49.87%,27508601225.51,27626809665.86,8659413575,8613596878,6071881671,2104712169,2101909156,3854246797,3881771187
_puvj,esard,qxwh_,zylb_,ntiog,_fcmk,#esardntiog,0.093151,18.77%,←000.02%,38.24%,→000.27%,60250070947.63,←000.13%,←000.30%,1.72,←000.40%,1.72,1.71,15.09% │ 08.41% │ 09.55% │ 11.62% │ 05.35%,10.05% │ 11.13% │ 12.65% │ 12.27% │ 03.87%,12.07% │ 08.79% │ 12.74% │ 12.29% │ 04.05%,02.80% │ 11.78% │ 15.18% │ 12.68% │ 07.62%,←290.48% │ →031.44% │ →024.53% │ ←004.46% │ →046.76%,15.63% │ 65.91% │ 18.46%,→015.17% │ ←015.45% │ →030.93%,50.03%,49.97%,49.93%,50.07%,30144438461.90,30105632485.73,8624946676,8648063777,6605436431,1620921212,1620607988,3606561263,3595901961
_pofx,mseru,zbyl_,_htwq,kinac,_dvgj,#13 #10 ms+0.2 | #37 #36 ri: +0.3,0.059232,24.17%,←000.10%,35.15%,←000.53%,55248243607.12,→000.02%,→000.71%,1.81,→001.00%,1.80,1.82,03.58% │ 10.83% │ 17.36% │ 13.55% │ 04.69%,01.08% │ 17.34% │ 14.03% │ 12.94% │ 04.61%,02.73% │ 10.21% │ 21.23% │ 12.98% │ 02.97%,03.66% │ 12.01% │ 17.36% │ 16.09% │ 00.75%,→022.38% │ →016.31% │ ←023.68% │ →021.88% │ ←332.45%,31.37% │ 49.01% │ 19.61%,→018.10% │ ←007.18% │ ←015.54%,50.00%,50.00%,50.13%,49.87%,27621468315.82,27626775291.30,8659413575,8613596878,6071881671,2088840187,2086856557,3854246797,3881771187
qpofx,ulerm,vybdk,_htsz,jinac,_gw__,#34 #25 ms: +2.0,0.000087,26.60%,←008.98%,33.60%,→002.75%,56712264135.44,←000.49%,→004.34%,1.86,→001.42%,1.85,1.88,05.88% │ 09.15% │ 18.00% │ 11.87% │ 05.22%,00.29% │ 14.82% │ 14.47% │ 15.98% │ 04.30%,03.96% │ 08.12% │ 21.15% │ 12.54% │ 03.54%,03.46% │ 14.72% │ 17.98% │ 14.32% │ 00.23%,←036.62% │ →042.78% │ ←024.37% │ →019.89% │ ←1688.86%,37.52% │ 46.15% │ 16.33%,→041.47% │ ←011.27% │ ←174.05%,50.12%,49.88%,49.30%,50.70%,28425711914.73,28286552220.71,8516169264,8756841189,5804141372,2396182790,2198645374,3913039064,4090719219
gherm,saitl,duonc,qybk_,zwfpj,_xv__,#08 #0 ms +2,0.000000,49.71%,←35581.02%,15.31%,←645.92%,74941884017.79,←1177.91%,←11692.09%,2.83,←249.17%,3.66,1.05,15.81% │ 16.23% │ 26.09% │ 21.33% │ 13.28%,00.23% │ 02.51% │ 02.53% │ 01.79% │ 00.20%,12.32% │ 15.73% │ 27.12% │ 22.81% │ 10.20%,00.23% │ 02.89% │ 04.88% │ 03.59% │ 00.23%,←7834.70% │ ←807.52% │ ←932.01% │ ←749.81% │ ←5635.90%,34.92% │ 34.29% │ 30.79%,←856.36% │ ←997.72% │ ←2627.99%,92.74%,7.26%,88.18%,11.82%,69503085129.64,5438798888.15,15231093024,2041917429,2644457089,8562982261,23998707,11069569693,93872873
