keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_mupq,rneod,zkfwj,_ylbx,sitah,_gcv_,hatisdoenr,300.620355,17.78%,←001.69%,36.37%,→000.07%,57826549281.31,→001.73%,←000.76%,1.77,←000.64%,1.78,1.77,08.34% │ 10.29% │ 13.74% │ 11.21% │ 05.98%,08.60% │ 10.87% │ 13.51% │ 10.93% │ 06.53%,06.66% │ 10.84% │ 16.93% │ 11.40% │ 04.15%,04.87% │ 10.97% │ 16.39% │ 11.34% │ 06.45%,←027.74% │ →005.83% │ ←001.68% │ ←003.12% │ →030.40%,18.10% │ 67.52% │ 14.38%,←002.04% │ ←001.86% │ →020.91%,49.56%,50.44%,49.98%,50.02%,28660799020.19,29165750261.12,8633589219,8639421234,6282186705,1548177849,1522384462,3777138144,3748574806
zpsuy,hterc,jkxv_,bfomw,dnail,___gq,htercdnail!,298.284736,18.15%,→001.60%,35.15%,←003.05%,58042032513.98,→001.91%,←000.84%,1.81,→001.74%,1.80,1.83,06.74% │ 10.81% │ 15.53% │ 09.31% │ 07.13%,07.87% │ 07.89% │ 12.98% │ 13.44% │ 08.30%,05.04% │ 11.69% │ 18.61% │ 10.39% │ 05.03%,06.06% │ 12.24% │ 15.83% │ 09.68% │ 05.44%,→018.87% │ →019.53% │ ←019.59% │ ←017.98% │ →009.34%,34.53% │ 59.61% │ 05.86%,→018.37% │ ←009.36% │ →004.53%,49.52%,50.48%,50.75%,49.25%,28741289630.03,29300742883.95,8766216106,8506794347,6071860747,1555119755,1580465771,3884182158,3851856750
ypumb,saerl,__jvz,kfcwx,hitno,qdg__,saerlhitno,279.485592,18.96%,→001.16%,34.82%,→000.91%,58889485095.44,→001.10%,←001.41%,1.82,←001.92%,1.84,1.81,11.06% │ 10.12% │ 10.97% │ 08.84% │ 08.74%,08.21% │ 13.77% │ 09.77% │ 08.73% │ 09.80%,08.15% │ 10.42% │ 14.98% │ 10.21% │ 06.02%,07.75% │ 09.18% │ 14.17% │ 13.60% │ 05.53%,←012.84% │ ←015.82% │ ←012.34% │ →035.80% │ ←006.45%,24.54% │ 66.44% │ 09.03%,←050.12% │ ←000.52% │ →076.95%,49.72%,50.28%,49.77%,50.23%,29281503491.91,29607981603.53,8596936095,8676074358,6014048895,1627690991,1646751084,3924163639,3869687121
quofj,daerp,_kywx,zblm_,gitns,_hcv_,#60 #55 rw: 0.2,179.264418,17.17%,→000.21%,41.01%,→000.29%,53083187830.61,→003.94%,←000.01%,1.64,←000.19%,1.64,1.64,05.21% │ 12.64% │ 16.73% │ 10.52% │ 03.91%,03.37% │ 14.84% │ 13.77% │ 10.85% │ 08.17%,03.92% │ 11.80% │ 21.23% │ 10.41% │ 02.57%,06.45% │ 11.17% │ 16.39% │ 13.89% │ 02.18%,→036.28% │ ←016.52% │ ←021.45% │ →029.15% │ ←015.94%,25.72% │ 56.37% │ 17.91%,←054.27% │ →006.04% │ →048.56%,49.00%,51.00%,49.93%,50.07%,26008498056.21,27074689774.40,8623852948,8649157505,7083793531,1480981888,1484148442,3362206728,3361899396
kvw__,saerl,ybumj,xfdgq,hnito,zcp__,saerlhnito,172.206077,18.11%,→000.20%,36.17%,→000.27%,57908070292.55,←000.06%,←000.32%,1.78,←000.45%,1.78,1.77,12.43% │ 10.92% │ 12.95% │ 07.44% │ 06.28%,07.62% │ 11.91% │ 10.99% │ 09.55% │ 09.91%,08.90% │ 10.97% │ 16.44% │ 09.13% │ 04.50%,07.66% │ 10.85% │ 13.56% │ 13.00% │ 05.00%,←025.35% │ ←014.40% │ ←017.79% │ →037.55% │ →017.62%,14.22% │ 67.07% │ 18.71%,→055.43% │ ←000.34% │ ←080.47%,50.02%,49.98%,49.93%,50.07%,28962823037.55,28945247255.00,8625009179,8648001274,6247032022,1562199354,1565356703,3786414349,3774453284
_uofq,caesg,zxyd_,kprmj,bitnl,_hwv_,#51 #50 ms: 0.1,168.003706,16.43%,→000.35%,47.10%,←002.18%,51520418690.35,→000.70%,→001.92%,1.49,→001.98%,1.47,1.50,04.72% │ 12.04% │ 17.15% │ 12.72% │ 03.19%,03.66% │ 15.95% │ 13.08% │ 11.39% │ 06.10%,03.46% │ 11.24% │ 21.23% │ 12.46% │ 02.15%,04.50% │ 11.17% │ 17.02% │ 14.41% │ 02.37%,→022.62% │ ←005.75% │ ←031.16% │ →020.28% │ →012.75%,30.64% │ 52.15% │ 17.22%,←005.64% │ ←001.72% │ →017.35%,49.82%,50.18%,50.54%,49.46%,25669405177.59,25851013512.76,8729442855,8543567598,8135434383,1416797563,1421815684,2808733651,2863731621
qupgb,roend,_wfz_,xclyk,satih,jvm__,hitasdneor,159.973662,17.82%,←001.66%,35.95%,←000.29%,58911682568.61,→000.50%,→000.14%,1.79,→000.34%,1.78,1.79,08.57% │ 12.82% │ 12.41% │ 08.25% │ 07.83%,09.11% │ 12.55% │ 11.88% │ 09.31% │ 07.28%,06.63% │ 12.03% │ 16.30% │ 09.67% │ 05.44%,05.43% │ 09.29% │ 15.67% │ 12.67% │ 06.87%,←017.78% │ ←037.72% │ ←004.45% │ →034.29% │ →014.07%,23.65% │ 66.50% │ 09.85%,→005.49% │ ←000.32% │ ←006.46%,49.87%,50.13%,50.07%,49.93%,29381520428.81,29530162139.80,8649196953,8623813500,6209891530,1551637773,1526329812,3796250789,3801757336
pmufg,noerd,___zj,yblck,hitas,qwvx_,satihdreon,149.499698,17.93%,←000.82%,35.29%,→001.99%,59805584293.24,→001.86%,→000.75%,1.81,←001.02%,1.82,1.80,12.38% │ 10.00% │ 10.02% │ 07.83% │ 09.29%,09.83% │ 10.17% │ 09.91% │ 11.82% │ 08.74%,09.64% │ 10.16% │ 14.75% │ 08.84% │ 06.10%,07.19% │ 11.79% │ 14.14% │ 10.90% │ 06.48%,←041.60% │ →015.33% │ ←001.14% │ →022.99% │ →005.48%,30.66% │ 65.29% │ 04.05%,←014.49% │ ←000.22% │ →086.41%,49.53%,50.47%,49.50%,50.50%,29622128441.66,30183455851.58,8549584326,8723426127,6095585106,1555102127,1542389735,3841709059,3870605490
quof_,caesg,zxyd_,_prmk,bitnl,jhwv_,#40 all: 0.1 s: 0,146.697967,16.44%,→000.44%,47.10%,←002.18%,51602347269.34,→000.81%,→001.92%,1.49,→001.98%,1.47,1.50,04.93% │ 12.05% │ 17.12% │ 12.70% │ 02.99%,02.69% │ 15.93% │ 13.06% │ 11.39% │ 07.14%,03.56% │ 11.24% │ 21.23% │ 12.46% │ 02.05%,05.01% │ 11.17% │ 17.02% │ 14.41% │ 01.85%,→030.93% │ ←005.86% │ ←031.12% │ →020.27% │ ←011.13%,30.33% │ 52.09% │ 17.58%,←008.23% │ ←001.63% │ →020.65%,49.80%,50.20%,50.54%,49.46%,25696430494.70,25905916774.64,8729442855,8543567598,8135434383,1416797563,1423078518,2808733651,2863731621
jpumf,saerl,xkw__,_ycbz,hitno,_dgvq,#saerlhitno,131.733868,16.53%,→000.18%,37.67%,←000.23%,57171220244.03,→000.12%,←000.77%,1.73,←000.39%,1.74,1.73,08.67% │ 11.67% │ 12.28% │ 07.94% │ 09.42%,06.87% │ 13.03% │ 09.91% │ 10.18% │ 10.04%,06.87% │ 11.16% │ 16.44% │ 09.13% │ 06.45%,07.79% │ 10.19% │ 14.17% │ 13.11% │ 04.68%,→013.64% │ ←014.65% │ ←023.89% │ →039.09% │ ←036.99%,20.49% │ 67.08% │ 12.43%,←068.17% │ ←001.36% │ →063.05%,49.97%,50.03%,50.06%,49.94%,28568328622.75,28602891621.28,8646376891,8626633562,6506462711,1426653927,1429211916,3664676412,3636760532
qbal_,dsery,_vpmz,jfow_,uitnc,_hgkx,#03 #2 rli +0.5,122.664863,27.42%,←000.02%,34.34%,←002.78%,55628199382.60,←001.49%,→000.03%,1.84,→002.30%,1.82,1.86,05.03% │ 09.14% │ 19.99% │ 13.25% │ 02.96%,04.54% │ 14.51% │ 16.00% │ 10.16% │ 04.41%,03.92% │ 09.14% │ 22.39% │ 13.40% │ 01.83%,03.52% │ 09.93% │ 18.41% │ 14.45% │ 03.01%,←013.90% │ →010.01% │ ←024.93% │ →008.67% │ →034.93%,30.38% │ 51.65% │ 17.98%,←022.45% │ →000.60% │ →021.53%,50.37%,49.63%,50.68%,49.32%,28020440149.24,27607759233.36,8754781088,8518229365,5932374562,2368311982,2367725467,3937095491,3938429602
____j,dnerg,yblap,wuomf,citsh,qvkxz,hsticgrend,106.890780,17.68%,→000.44%,35.56%,←000.40%,59243699066.53,→001.84%,←002.04%,1.80,←001.31%,1.81,1.79,07.65% │ 08.20% │ 12.00% │ 15.17% │ 06.51%,07.01% │ 11.31% │ 13.79% │ 08.38% │ 09.98%,05.53% │ 09.11% │ 16.24% │ 14.80% │ 04.43%,06.99% │ 09.24% │ 17.10% │ 11.44% │ 05.12%,→023.36% │ →002.16% │ →012.96% │ ←034.17% │ →007.07%,21.66% │ 52.04% │ 26.30%,→098.30% │ →001.12% │ ←677.54%,49.54%,50.46%,50.10%,49.90%,29346674148.37,29897024918.16,8653566336,8619444117,6142430647,1523836995,1530603413,3871448410,3794020598
_pofj,uaerk,zywdx,_gnm_,bitsl,_hcvq,#52 #50 ms: 0.3,105.545725,22.69%,←000.05%,41.08%,→000.18%,52650728482.44,→003.76%,←000.36%,1.64,←000.34%,1.64,1.63,04.16% │ 13.12% │ 16.94% │ 12.95% │ 01.87%,02.25% │ 15.32% │ 17.31% │ 10.38% │ 05.70%,02.91% │ 12.12% │ 21.22% │ 12.54% │ 01.17%,04.37% │ 10.13% │ 19.61% │ 14.32% │ 01.62%,→026.96% │ ←026.38% │ →002.14% │ →015.49% │ →016.78%,27.98% │ 49.67% │ 22.34%,←005.60% │ →003.18% │ →015.50%,49.04%,50.96%,49.96%,50.04%,25820419769.48,26830308712.96,8628879280,8644131173,7095061161,1960295827,1959281610,3362441928,3350396566
_uofq,daerm,_kywz,_plb_,gitns,jhcvx,#59 #55 rw: 0.3,99.342278,17.15%,→000.08%,40.58%,←000.36%,53252710674.94,→003.62%,←002.20%,1.65,←001.18%,1.66,1.64,04.99% │ 12.66% │ 16.95% │ 10.07% │ 04.41%,03.49% │ 15.55% │ 13.91% │ 09.52% │ 08.44%,03.82% │ 11.80% │ 21.23% │ 10.41% │ 02.83%,06.64% │ 10.19% │ 16.39% │ 14.41% │ 02.28%,→040.87% │ ←032.94% │ ←021.82% │ →035.24% │ ←026.24%,24.35% │ 57.13% │ 18.52%,←060.33% │ →003.06% │ →052.54%,49.08%,50.92%,50.09%,49.91%,26135553474.12,27117157200.82,8652228200,8620782253,7009153347,1480344652,1481558197,3436311030,3362435278
