rating_rank,bigram,mirror,tier,majority_rank,rating,deviation,effort,distance,matches,majority_score,majority_wins,majority_losses,majority_ties,majority_unseen
165,"DQ","KP",21/30,190,1220.571508,131.203565,7.364598,2.462,45,-8,3,11,1,194
166,"BG","NH",21/30,182,1217.634896,91.457154,7.364598,1.118,25,-6,3,9,3,194
167,"BZ","N/",21/30,111,1216.366915,91.887389,7.364598,4.000,27,0,6,6,3,194
168,"ZB","/N",21/30,155,1215.601815,101.315620,7.364598,4.000,38,-4,5,9,0,195
169,"VR","MU",21/30,172,1212.291362,107.578130,7.364598,2.136,32,-5,3,8,0,198
170,"QD","PK",21/30,137,1210.749385,97.803547,7.364598,2.462,28,-2,6,8,1,194
171,"SQ","LP",21/30,203,1198.422052,128.980829,7.364598,1.601,46,-10,1,11,2,195
172,"TC","Y,",21/30,149,1192.573986,93.485358,7.364598,2.358,28,-3,5,8,2,194
173,"QG","PH",21/30,121,1185.184496,96.737941,7.364598,4.366,29,-1,7,8,2,192
174,"GQ","HP",21/30,187,1178.369825,88.402141,7.364598,4.366,54,-7,2,9,2,196
175,"QS","PL",22/30,122,1160.842131,98.349275,7.624704,1.601,32,-1,7,8,2,192
176,"BW","NO",22/30,141,1153.808572,96.707019,7.624704,4.250,24,-2,5,7,2,195
177,"QT","PY",22/30,144,1146.879044,96.665559,7.624704,4.000,24,-3,7,10,2,190
178,"TG","YH",22/30,162,1142.763040,95.715490,7.624704,1.031,29,-4,3,7,2,197
179,"WX","O.",22/30,183,1115.500107,102.598809,7.624704,2.136,30,-6,3,9,2,195
180,"CT",",Y",22/30,189,1103.007256,112.202189,7.624704,2.358,41,-7,1,8,1,199
181,"ZR","/U",23/30,152,1082.923058,103.877954,7.899529,3.010,30,-3,4,7,1,197
182,"RB","UN",23/30,201,1081.710608,97.937830,7.899529,2.658,30,-10,3,13,0,193
183,"WZ","O/",23/30,173,1072.081244,106.527427,7.899529,2.016,46,-5,3,8,1,197
184,"WB","ON",23/30,185,1065.073363,99.924769,7.899529,4.250,30,-6,1,7,2,199
185,"ZW","/O",23/30,112,1056.234789,100.965597,7.899529,2.016,33,0,6,6,1,196
186,"ZA","/;",23/30,174,1049.961229,99.673617,7.899529,1.118,32,-5,3,8,2,196
187,"QV","PM",23/30,138,1047.300064,101.291255,7.899529,4.250,34,-2,6,8,1,194
188,"RZ","U/",23/30,202,1047.167836,103.019563,7.899529,3.010,31,-10,2,12,2,193
189,"XT",".Y",24/30,175,1020.574362,104.263099,8.100550,3.010,30,-5,3,8,1,197
190,"TX","Y.",24/30,177,1018.485811,98.340733,8.100550,3.010,28,-6,6,12,0,191
191,"XW",".O",24/30,188,1008.861447,109.443883,8.100550,2.136,30,-7,2,9,1,197
192,"VT","MY",24/30,163,998.762873,108.843216,8.100550,2.016,33,-4,3,7,1,198
193,"BR","NU",24/30,191,993.154139,106.955673,8.100550,2.658,32,-8,3,11,0,195
194,"AZ",";/",25/30,206,956.258977,120.476764,8.402368,1.118,47,-11,2,13,1,193
195,"QA","P;",25/30,166,942.766847,95.877746,8.402368,1.031,29,-5,5,10,1,193
196,"TV","YM",25/30,194,933.321881,105.380241,8.402368,2.016,30,-8,2,10,2,195
197,"QC","P,",25/30,156,918.628852,98.926553,8.402368,3.400,34,-4,5,9,2,193
198,"ZT","/Y",25/30,204,899.369484,101.469108,8.402368,3.816,32,-10,1,11,3,194
199,"VQ","MP",25/30,205,899.069326,111.186878,8.402368,4.250,46,-10,1,11,2,195
200,"CQ",",P",26/30,195,847.943135,120.984670,8.719640,3.400,45,-8,2,10,1,196
201,"BT","NY",26/30,197,843.595884,118.022861,8.719640,2.136,46,-8,1,9,1,198
202,"TB","YN",26/30,207,818.461575,108.788386,8.719640,2.136,45,-11,1,12,1,195
203,"XQ",".P",27/30,199,789.790526,122.224620,8.923331,2.658,46,-9,1,10,0,198
204,"QX","P.",27/30,176,787.504863,106.896774,8.923331,2.658,48,-5,3,8,1,197
205,"AQ",";P",27/30,208,761.314509,144.058342,8.923331,1.031,47,-11,1,12,1,195
206,"TZ","Y/",28/30,198,704.231389,112.380991,9.231566,3.816,46,-9,2,11,0,196
207,"QB","PN",28/30,196,680.541154,106.297292,9.231566,5.154,45,-8,2,10,1,196
208,"BQ","NP",29/30,200,585.741146,122.577010,9.604876,5.154,46,-9,1,10,2,196
209,"QZ","P/",30/30,209,507.166303,118.401877,10.000000,2.136,47,-13,1,14,1,193
210,"ZQ","/P",30/30,210,436.028873,152.936234,10.000000,2.136,47,-15,0,15,0,194
spearman_rating_vs_distance,0.3917,"correlation between discovered ranks and physical key distance: 1 = ranking is pure distance, 0 = no relation, negative = farther felt easier (suspicious); 0.3-0.7 healthy"
tier_r2,0.9985,"share of discovered rating variation preserved by the configured tier count: 1 = no detail lost, higher is better; raise tierCount to preserve more"
