keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,sfs_ratio,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,left_finger_row_switch_ratio,right_finger_row_switch_ratio,finger_row_switch_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,sfs_count,home_row_balance,left_pinky_ratio,left_ring_ratio,left_middle_ratio,left_index_inner_ratio,left_index_outer_ratio,right_pinky_ratio,right_ring_ratio,right_middle_ratio,right_index_inner_ratio,right_index_outer_ratio,left_pinky_row_switch_ratio,left_ring_row_switch_ratio,left_middle_row_switch_ratio,left_index_row_switch_ratio,right_pinky_row_switch_ratio,right_ring_row_switch_ratio,right_middle_row_switch_ratio,right_index_row_switch_ratio,pinky_balance,ring_balance,middle_balance,index_inner_balance,index_outer_balance,pinky_row_switch_balance,ring_row_switch_balance,middle_row_switch_balance,index_row_switch_balance
qwldp,asrtg,zxcvj,kmuy_,fneio,bh___,soul,3741.990153,1.52%,038.58%←,45.32%,003.63%→,6.85%,58264966637.33,000.42%→,020.64%→,1.53,009.73%→,1.45,1.61,10.96% │ 07.51% │ 12.57% │ 12.60% │ 06.26%,06.85% │ 14.49% │ 11.01% │ 08.48% │ 09.28%,08.50% │ 08.33% │ 14.12% │ 13.70% │ 04.43%,04.55% │ 14.77% │ 14.75% │ 09.29% │ 07.56%,018.09%← │ 011.46%→ │ 014.11%← │ 012.99%→ │ 008.65%→,00.65% │ 00.64% │ 04.35% │ 00.88%,02.32% │ 01.06% │ 00.34% │ 00.00%,100.00%← │ 072.15%← │ 293.00%← │ 064.64%→,24.67%,61.42%,13.90%,046.76%← │ 010.06%→ │ 021.03%→,49.89%,50.11%,49.07%,50.93%,29070659384.17,29194307253.16,8476720029,8796290424,7827463791,152308683,109908363,2646086975,3334348889,1183582888,010.06%→,10.96%,7.51%,12.57%,12.60%,6.26%,9.28%,8.48%,11.01%,14.49%,6.85%,0.65%,0.64%,4.35%,0.88%,0.00%,0.34%,1.06%,2.32%,018.09%←,011.46%→,014.11%←,012.99%→,008.65%→,100.00%←,072.15%←,293.00%←,064.64%→
byou_,ciae_,gxjk_,zldwv,qhtsn,_rmfp,engrammer*,3676.148931,1.30%,071.27%←,54.28%,007.56%→,5.97%,55045174447.89,011.56%→,000.24%←,1.35,002.84%←,1.37,1.33,10.66% │ 08.84% │ 12.56% │ 14.86% │ 00.00%,00.34% │ 16.11% │ 12.05% │ 10.32% │ 14.23%,07.00% │ 09.48% │ 16.06% │ 15.49% │ 00.00%,00.23% │ 15.48% │ 15.22% │ 10.32% │ 10.71%,025.08%→ │ 014.34%→ │ 004.24%← │ 007.76%→ │ 100.00%→,00.29% │ 00.80% │ 01.70% │ 02.90%,01.84% │ 00.44% │ 00.71% │ 00.47%,059.75%→ │ 003.94%← │ 308.58%← │ 055.89%←,31.10%,46.38%,22.52%,021.22%← │ 015.23%← │ 071.01%→,46.93%,53.07%,48.04%,51.96%,25834858658.23,29210315789.66,8297409136,8975601317,9375504312,141552163,82648680,2218832941,2213562402,1031084126,015.23%←,10.66%,8.84%,12.56%,14.86%,0.00%,14.23%,10.32%,12.05%,16.11%,0.34%,0.29%,0.80%,1.70%,2.90%,0.47%,0.71%,0.44%,1.84%,025.08%→,014.34%→,004.24%←,007.76%→,100.00%→,059.75%→,003.94%←,308.58%←,055.89%←
zmrlf,nthsb,xqwkv,jyou_,cdeia,pg___,nokwts,3330.848742,1.46%,140.82%←,53.84%,005.63%→,6.63%,56035121938.75,002.19%→,029.63%→,1.35,009.73%→,1.29,1.42,09.23% │ 10.58% │ 11.15% │ 11.30% │ 07.19%,08.80% │ 07.42% │ 13.84% │ 10.11% │ 10.38%,07.81% │ 11.50% │ 12.90% │ 11.46% │ 04.88%,05.70% │ 07.58% │ 19.53% │ 10.37% │ 08.27%,011.14%→ │ 004.71%← │ 019.44%→ │ 052.32%← │ 018.33%→,00.11% │ 00.23% │ 03.16% │ 03.59%,01.68% │ 00.56% │ 00.91% │ 00.00%,100.00%← │ 072.23%→ │ 272.09%← │ 162.32%←,32.98%,55.65%,11.37%,023.71%← │ 011.77%→ │ 017.99%→,49.45%,50.55%,48.55%,51.45%,27707487779.15,28327634159.60,8386324531,8886685922,9300506814,177777460,73822151,1861749650,2645643191,1145885924,011.77%→,9.23%,10.58%,11.15%,11.30%,7.19%,10.38%,10.11%,13.84%,7.42%,8.80%,0.11%,0.23%,3.16%,3.59%,0.00%,0.91%,0.56%,1.68%,011.14%→,004.71%←,019.44%→,052.32%←,018.33%→,100.00%←,072.23%→,272.09%←,162.32%←
zoinx,_aer_,q_u_j,kdcfv,lhtsb,ympgw,zoinx,3101.485221,2.38%,020.47%→,47.97%,012.02%←,7.59%,53666269630.78,005.46%←,093.04%←,1.47,027.81%←,1.66,1.30,00.44% │ 16.66% │ 17.47% │ 15.98% │ 00.78%,10.36% │ 11.13% │ 09.93% │ 10.63% │ 06.62%,00.23% │ 15.83% │ 22.34% │ 14.02% │ 00.42%,06.72% │ 11.11% │ 14.27% │ 10.68% │ 04.39%,093.33%→ │ 056.64%← │ 075.97%← │ 043.60%← │ 092.51%→,00.08% │ 00.43% │ 03.54% │ 01.36%,04.71% │ 02.88% │ 00.64% │ 00.14%,096.96%→ │ 001.06%→ │ 092.18%← │ 076.65%→,42.54%,38.04%,19.42%,107.30%← │ 013.11%→ │ 065.84%→,51.33%,48.67%,52.83%,47.17%,27545619774.95,26120649855.83,9126092008,8146918445,8286413089,182111077,228975850,3637267916,1884218650,1311685399,013.11%→,0.44%,16.66%,17.47%,15.98%,0.78%,6.62%,10.63%,9.93%,11.13%,10.36%,0.08%,0.43%,3.54%,1.36%,0.14%,0.64%,2.88%,4.71%,093.33%→,056.64%←,075.97%←,043.60%←,092.51%→,096.96%→,001.06%→,092.18%←,076.65%→
qchmz,rsntg,xbldp,kyoj_,wueai,vf___,hands-down-referece,3009.085017,1.24%,151.83%←,53.31%,018.34%←,6.52%,54705098583.45,025.64%←,037.45%←,1.36,005.53%←,1.40,1.32,08.86% │ 11.82% │ 13.69% │ 14.53% │ 06.78%,05.63% │ 07.66% │ 14.12% │ 07.27% │ 09.65%,06.82% │ 11.39% │ 16.44% │ 15.22% │ 04.33%,03.51% │ 06.67% │ 19.53% │ 08.50% │ 07.59%,008.20%→ │ 062.74%← │ 003.03%→ │ 089.75%← │ 020.42%←,00.03% │ 01.87% │ 00.72% │ 02.85%,01.80% │ 00.56% │ 00.71% │ 00.00%,100.00%← │ 253.69%← │ 008.20%← │ 202.94%←,25.21%,53.47%,21.32%,012.66%← │ 004.25%→ │ 214.13%←,55.68%,44.32%,54.20%,45.80%,30460687559.36,24244411024.09,9361818781,7911191672,9208336372,153702564,61033221,2662519863,1937043420,1126455880,004.25%→,8.86%,11.82%,13.69%,14.53%,6.78%,9.65%,7.27%,14.12%,7.66%,5.63%,0.03%,1.87%,0.72%,2.85%,0.00%,0.71%,0.56%,1.80%,008.20%→,062.74%←,003.03%→,089.75%←,020.42%←,100.00%←,253.69%←,008.20%←,202.94%←
blcwv,nrstg,xzkmj,qfou_,yheia,pd___,meteorite,2811.308720,1.11%,093.09%←,54.03%,010.62%→,5.94%,54224510307.28,008.23%→,041.11%→,1.35,013.23%→,1.26,1.45,12.23% │ 10.87% │ 07.64% │ 11.90% │ 05.21%,06.34% │ 10.91% │ 13.79% │ 10.56% │ 10.54%,09.30% │ 10.92% │ 10.52% │ 13.09% │ 03.36%,03.95% │ 10.69% │ 19.53% │ 10.37% │ 08.27%,015.97%← │ 002.97%← │ 044.59%→ │ 009.03%← │ 017.79%→,00.15% │ 00.92% │ 04.74% │ 00.71%,01.19% │ 00.56% │ 00.91% │ 00.00%,100.00%← │ 006.52%← │ 355.23%← │ 032.92%→,30.65%,55.68%,13.68%,004.49%← │ 005.55%→ │ 039.60%→,47.85%,52.15%,47.20%,52.80%,25948501071.37,28276009235.91,8152027302,9120983151,9331938000,125968511,65239553,1658998656,2816962999,1026512092,005.55%→,12.23%,10.87%,7.64%,11.90%,5.21%,10.54%,10.56%,13.79%,10.91%,6.34%,0.15%,0.92%,4.74%,0.71%,0.00%,0.91%,0.56%,1.19%,015.97%←,002.97%←,044.59%→,009.03%←,017.79%→,100.00%←,006.52%←,355.23%←,032.92%→
fmpwq,stndy,kbcgv,zjou_,xraei,lh___,stand,2112.562200,1.19%,087.36%←,49.75%,015.47%→,6.04%,56829479338.28,020.59%→,059.62%→,1.43,025.57%→,1.23,1.66,12.49% │ 12.52% │ 08.60% │ 06.48% │ 04.17%,07.97% │ 10.78% │ 12.67% │ 14.80% │ 09.51%,09.38% │ 13.02% │ 12.96% │ 07.57% │ 02.88%,04.59% │ 11.44% │ 15.83% │ 14.75% │ 07.59%,031.33%← │ 015.40%→ │ 032.12%→ │ 039.92%→ │ 047.68%→,01.11% │ 01.95% │ 02.46% │ 00.98%,01.20% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 062.42%← │ 373.13%← │ 046.70%→,23.12%,52.95%,23.93%,011.39%→ │ 027.77%→ │ 012.09%→,44.26%,55.74%,45.81%,54.19%,25154491884.55,31674987453.73,7912379710,9360630743,8593607921,134555816,71815265,1499984934,3714306800,1043001537,027.77%→,12.49%,12.52%,8.60%,6.48%,4.17%,9.51%,14.80%,12.67%,10.78%,7.97%,1.11%,1.95%,2.46%,0.98%,0.00%,1.06%,0.43%,1.20%,031.33%←,015.40%→,032.12%→,039.92%→,047.68%→,100.00%←,062.42%←,373.13%←,046.70%→
ywflm,ursnh,zxcvj,kpoq_,dteai,bg___,poqtea,1991.889199,0.76%,059.26%←,53.86%,017.08%→,7.88%,55351951383.51,011.05%→,046.98%→,1.35,014.04%→,1.25,1.45,07.10% │ 07.52% │ 09.22% │ 12.26% │ 10.97%,09.34% │ 12.19% │ 14.66% │ 07.22% │ 09.52%,04.61% │ 08.41% │ 11.96% │ 12.83% │ 07.51%,06.19% │ 12.99% │ 19.53% │ 08.37% │ 07.59%,025.37%→ │ 004.20%← │ 037.09%→ │ 000.58%← │ 017.44%←,00.58% │ 00.49% │ 01.47% │ 01.09%,00.92% │ 00.56% │ 00.09% │ 00.00%,100.00%← │ 426.06%← │ 060.98%← │ 026.67%←,28.98%,59.47%,11.55%,038.23%← │ 032.61%→ │ 020.75%←,47.08%,52.92%,45.33%,54.67%,26057082106.82,29294869276.69,7830137558,9442872895,9303238340,80625191,50623862,1560907589,2943753726,1360990115,032.61%→,7.10%,7.52%,9.22%,12.26%,10.97%,9.52%,7.22%,14.66%,12.19%,9.34%,0.58%,0.49%,1.47%,1.09%,0.00%,0.09%,0.56%,0.92%,025.37%→,004.20%←,037.09%→,000.58%←,017.44%←,100.00%←,426.06%←,060.98%←,026.67%←
wpdfg,rntsy,zbkcv,qxou_,mhaei,jl___,blaze-colstag,1967.293444,0.67%,038.67%←,51.95%,000.95%→,5.74%,55280219956.91,001.27%←,033.78%→,1.39,014.32%→,1.29,1.50,11.48% │ 10.31% │ 08.99% │ 11.63% │ 07.90%,04.46% │ 09.14% │ 12.43% │ 14.25% │ 09.41%,08.35% │ 11.26% │ 13.36% │ 11.96% │ 04.83%,02.93% │ 09.14% │ 15.83% │ 14.75% │ 07.59%,022.04%← │ 027.61%→ │ 027.70%→ │ 027.30%← │ 077.14%←,00.52% │ 00.21% │ 00.10% │ 01.86%,00.49% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 084.94%→ │ 080.16%→ │ 428.22%←,28.20%,56.89%,14.91%,027.68%← │ 018.92%→ │ 053.48%←,50.32%,49.68%,49.76%,50.24%,27814552027.06,27465667929.85,8595414586,8677595867,8972759665,67682503,48808604,1926294784,2908845206,991589804,018.92%→,11.48%,10.31%,8.99%,11.63%,7.90%,9.41%,14.25%,12.43%,9.14%,4.46%,0.52%,0.21%,0.10%,1.86%,0.00%,1.06%,0.43%,0.49%,022.04%←,027.61%→,027.70%→,027.30%←,077.14%←,100.00%←,084.94%→,080.16%→,428.22%←
qhou_,jieay,xk___,glrfb,dtsnp,vmcwz,breakl-43,1807.332056,2.78%,038.94%→,57.37%,015.44%→,8.64%,53469661523.23,028.15%→,019.92%→,1.29,001.57%→,1.28,1.30,00.85% │ 13.33% │ 15.25% │ 09.99% │ 02.38%,11.20% │ 15.77% │ 14.69% │ 10.67% │ 05.86%,00.52% │ 13.01% │ 19.53% │ 11.05% │ 01.70%,06.95% │ 15.67% │ 16.30% │ 11.37% │ 03.90%,085.47%→ │ 024.87%← │ 003.84%← │ 036.61%→ │ 078.71%→,00.05% │ 05.45% │ 00.56% │ 01.85%,02.84% │ 05.85% │ 01.13% │ 00.13%,094.37%→ │ 453.42%← │ 088.51%→ │ 063.16%→,39.26%,47.40%,13.34%,023.03%→ │ 003.46%→ │ 087.79%→,41.81%,58.19%,45.82%,54.18%,22355777315.69,31113884207.54,7914015361,9358995092,9908937763,182303781,298548839,1733774178,2165187714,1491845380,003.46%→,0.85%,13.33%,15.25%,9.99%,2.38%,5.86%,10.67%,14.69%,15.77%,11.20%,0.05%,5.45%,0.56%,1.85%,0.13%,1.13%,5.85%,2.84%,085.47%→,024.87%←,003.84%←,036.61%→,078.71%→,094.37%→,453.42%←,088.51%→,063.16%→
qwldg,nrstm,zxcvb,juop_,kaehi,yf___,kaehi,1756.423075,2.05%,020.38%→,55.18%,000.57%←,7.29%,54444471439.98,008.90%←,021.45%→,1.33,007.78%→,1.28,1.39,09.38% │ 07.62% │ 11.92% │ 13.35% │ 09.86%,04.31% │ 13.24% │ 14.57% │ 06.29% │ 09.46%,07.72% │ 08.41% │ 14.04% │ 13.70% │ 06.27%,02.68% │ 13.24% │ 19.53% │ 06.83% │ 07.59%,000.87%→ │ 021.06%← │ 018.16%→ │ 000.79%← │ 128.99%←,00.13% │ 00.49% │ 04.45% │ 01.16%,06.05% │ 00.56% │ 00.99% │ 00.00%,100.00%← │ 039.39%→ │ 470.41%← │ 075.92%→,30.86%,54.38%,14.76%,005.49%← │ 002.81%← │ 044.42%←,52.13%,47.87%,50.14%,49.86%,28381642267.02,26062829172.96,8660931290,8612079163,9531992112,156806100,196935933,1881119674,2394787869,1259528032,002.81%←,9.38%,7.62%,11.92%,13.35%,9.86%,9.46%,6.29%,14.57%,13.24%,4.31%,0.13%,0.49%,4.45%,1.16%,0.00%,0.99%,0.56%,6.05%,000.87%→,021.06%←,018.16%→,000.79%←,128.99%←,100.00%←,039.39%→,470.41%←,075.92%→
qldwz,nrtsg,pxbcv,jfou_,_haei,km_y_,graphyre-standard,1694.775362,0.90%,028.18%→,53.51%,001.26%→,5.76%,54810305367.59,003.21%←,025.15%→,1.36,009.41%→,1.29,1.43,12.49% │ 11.55% │ 10.52% │ 11.21% │ 05.01%,01.65% │ 09.56% │ 12.11% │ 16.41% │ 09.48%,09.74% │ 10.99% │ 14.24% │ 11.47% │ 03.26%,00.98% │ 09.47% │ 15.83% │ 16.45% │ 07.59%,031.80%← │ 029.60%→ │ 013.14%→ │ 017.24%← │ 203.97%←,00.10% │ 00.87% │ 00.29% │ 01.56%,00.39% │ 00.43% │ 02.52% │ 00.00%,100.00%← │ 077.03%→ │ 038.94%→ │ 458.51%←,27.35%,54.02%,18.64%,015.21%→ │ 001.97%→ │ 061.22%←,50.79%,49.21%,49.68%,50.32%,27838184788.68,26972120578.91,8581911946,8691098507,9242456063,64847225,90289976,1954454035,2610989557,994786204,001.97%→,12.49%,11.55%,10.52%,11.21%,5.01%,9.48%,16.41%,12.11%,9.56%,1.65%,0.10%,0.87%,0.29%,1.56%,0.00%,2.52%,0.43%,0.39%,031.80%←,029.60%→,013.14%→,017.24%←,203.97%←,100.00%←,077.03%→,038.94%→,458.51%←
vlhgk,srntb,zxmdp,qfouj,ycaei,_w___,focal,1681.635756,0.66%,044.27%←,53.37%,010.95%←,6.10%,54077556767.39,019.42%←,014.09%←,1.36,001.01%←,1.37,1.35,10.29% │ 11.46% │ 11.32% │ 14.30% │ 07.05%,02.52% │ 07.63% │ 12.09% │ 13.44% │ 09.89%,07.65% │ 10.99% │ 14.77% │ 14.67% │ 04.51%,01.80% │ 07.21% │ 15.83% │ 14.75% │ 07.82%,004.05%← │ 014.74%→ │ 006.38%→ │ 087.40%← │ 179.64%←,00.10% │ 00.87% │ 00.69% │ 00.95%,00.35% │ 00.43% │ 01.06% │ 00.17%,044.69%→ │ 039.08%→ │ 052.45%← │ 480.29%←,32.22%,53.62%,14.16%,012.38%← │ 010.01%→ │ 449.55%←,54.42%,45.58%,52.59%,47.41%,29431472438.23,24646084329.16,9084736641,8188273812,9218631149,66900064,46370507,2445637108,2143631398,1054381275,010.01%→,10.29%,11.46%,11.32%,14.30%,7.05%,9.89%,13.44%,12.09%,7.63%,2.52%,0.10%,0.87%,0.69%,0.95%,0.17%,1.06%,0.43%,0.35%,004.05%←,014.74%→,006.38%→,087.40%←,179.64%←,044.69%→,039.08%→,052.45%←,480.29%←
vlndk,tsrhf,zxpb_,jwou_,gcaei,myq__,kuntum,1081.744900,1.15%,130.52%←,52.43%,000.51%←,5.80%,57396146937.86,001.15%←,017.32%→,1.38,007.13%→,1.33,1.43,12.57% │ 10.73% │ 12.40% │ 10.71% │ 03.87%,07.68% │ 06.55% │ 12.59% │ 13.71% │ 09.19%,10.00% │ 10.91% │ 16.16% │ 10.12% │ 02.93%,04.88% │ 06.72% │ 15.93% │ 14.75% │ 07.59%,036.88%← │ 021.69%→ │ 001.47%→ │ 063.37%← │ 049.65%→,00.14% │ 01.65% │ 03.40% │ 00.43%,00.98% │ 00.48% │ 01.06% │ 00.00%,100.00%← │ 015.48%← │ 611.58%← │ 050.67%→,33.19%,55.32%,11.48%,038.42%← │ 009.99%→ │ 028.02%→,50.28%,49.72%,50.13%,49.87%,28861442665.71,28534704272.15,8658357904,8614652549,9056753663,138118903,59915641,2150282470,2600863522,1002215176,009.99%→,12.57%,10.73%,12.40%,10.71%,3.87%,9.19%,13.71%,12.59%,6.55%,7.68%,0.14%,1.65%,3.40%,0.43%,0.00%,1.06%,0.48%,0.98%,036.88%←,021.69%→,001.47%→,063.37%←,049.65%→,100.00%←,015.48%←,611.58%←,050.67%→
qwyrf,dsatn,zxcvj,mlubp,hoei_,gk___,carpax-qwyrfm,1050.120985,4.63%,001.65%→,45.73%,008.29%←,8.76%,61798365792.59,002.96%←,002.05%→,1.52,005.10%→,1.48,1.56,05.02% │ 07.01% │ 10.64% │ 15.61% │ 12.44%,12.61% │ 12.53% │ 12.20% │ 08.35% │ 03.57%,04.05% │ 08.33% │ 13.30% │ 16.40% │ 09.91%,09.33% │ 12.57% │ 14.75% │ 09.21% │ 02.15%,040.61%← │ 016.09%→ │ 012.77%→ │ 024.55%← │ 001.31%→,00.08% │ 00.64% │ 08.24% │ 04.35%,09.19% │ 01.06% │ 01.81% │ 00.00%,100.00%← │ 067.79%→ │ 601.26%← │ 043.14%→,31.89%,58.35%,09.76%,017.94%→ │ 009.20%← │ 052.66%←,50.73%,49.27%,51.99%,48.01%,31350014064.98,30448351727.61,8980216547,8292793906,7898151172,396667052,403318353,2924304362,2985444121,1512898634,009.20%←,5.02%,7.01%,10.64%,15.61%,12.44%,3.57%,8.35%,12.20%,12.53%,12.61%,0.08%,0.64%,8.24%,4.35%,0.00%,1.81%,1.06%,9.19%,040.61%←,016.09%→,012.77%→,024.55%←,001.31%→,100.00%←,067.79%→,601.26%←,043.14%→
qwerf,asdtg,zxcvb,jylk_,huoip,nm___,qwerf-2007,1046.940627,6.69%,144.34%←,41.76%,039.27%←,8.30%,63999516296.99,048.73%←,069.07%←,1.62,012.36%←,1.70,1.51,10.18% │ 07.45% │ 18.79% │ 15.70% │ 07.68%,16.62% │ 06.42% │ 07.98% │ 06.90% │ 02.28%,08.50% │ 08.33% │ 19.12% │ 16.40% │ 05.86%,12.40% │ 07.09% │ 11.83% │ 08.33% │ 02.15%,345.64%← │ 008.03%← │ 135.38%← │ 144.47%← │ 053.80%→,00.65% │ 00.64% │ 16.81% │ 06.39%,05.94% │ 05.30% │ 01.89% │ 00.00%,100.00%← │ 065.94%→ │ 412.85%← │ 022.83%←,31.86%,46.10%,22.04%,258.65%← │ 038.44%← │ 041.70%→,59.80%,40.20%,58.21%,41.79%,38269114951.34,25730401345.65,10054069906,7218940547,7212551654,819586316,335421792,4144206378,2451141623,1433419074,038.44%←,10.18%,7.45%,18.79%,15.70%,7.68%,2.28%,6.90%,7.98%,6.42%,16.62%,0.65%,0.64%,16.81%,6.39%,0.00%,1.89%,5.30%,5.94%,345.64%←,008.03%←,135.38%←,144.47%←,053.80%→,100.00%←,065.94%→,412.85%←,022.83%←
byou_,hiae_,kjxw_,qdngv,ztrsc,_mlfp,engram-v2025*,951.609927,1.23%,043.03%←,54.82%,003.81%→,6.10%,54613129711.17,004.70%→,014.24%←,1.34,005.94%←,1.38,1.30,09.87% │ 09.26% │ 12.83% │ 16.84% │ 00.00%,00.34% │ 14.75% │ 15.77% │ 10.89% │ 09.45%,07.05% │ 09.52% │ 16.02% │ 16.44% │ 00.00%,00.23% │ 15.22% │ 18.29% │ 10.68% │ 06.55%,004.43%← │ 014.99%→ │ 018.68%→ │ 014.18%← │ 100.00%→,00.32% │ 00.48% │ 00.84% │ 03.17%,00.46% │ 01.97% │ 00.64% │ 00.11%,214.21%← │ 033.28%→ │ 062.78%→ │ 640.18%←,33.36%,47.65%,18.98%,001.83%← │ 040.87%← │ 072.49%→,48.80%,51.20%,49.03%,50.97%,26649950358.82,27963179352.35,8468735032,8804275421,9469081483,124933045,87348711,2313648671,2025169501,1053439296,040.87%←,9.87%,9.26%,12.83%,16.84%,0.00%,9.45%,10.89%,15.77%,14.75%,0.34%,0.32%,0.48%,0.84%,3.17%,0.11%,0.64%,1.97%,0.46%,004.43%←,014.99%→,018.68%→,014.18%←,100.00%→,214.21%←,033.28%→,062.78%→,640.18%←
bfrlv,nshtd,zxkmq,jgou_,ycaei,pw___,eclipse,905.804015,1.18%,189.38%←,54.35%,002.77%←,6.25%,56156584654.17,005.09%←,011.94%→,1.34,005.17%→,1.31,1.38,11.68% │ 08.16% │ 08.87% │ 15.23% │ 07.30%,06.27% │ 07.39% │ 12.41% │ 13.52% │ 09.16%,09.24% │ 08.83% │ 11.96% │ 15.67% │ 05.00%,04.08% │ 07.07% │ 15.83% │ 14.75% │ 07.59%,027.45%← │ 039.60%→ │ 028.55%→ │ 105.98%← │ 016.41%←,00.22% │ 00.23% │ 02.48% │ 02.61%,00.71% │ 00.43% │ 01.06% │ 00.00%,100.00%← │ 087.14%→ │ 340.07%← │ 582.88%←,33.27%,56.22%,10.51%,024.49%← │ 000.62%→ │ 016.96%→,51.24%,48.76%,50.68%,49.32%,28775085823.52,27381498830.65,8754586847,8518423606,9388141528,151161559,52236293,2069565842,2350192285,1080267571,000.62%→,11.68%,8.16%,8.87%,15.23%,7.30%,9.16%,13.52%,12.41%,7.39%,6.27%,0.22%,0.23%,2.48%,2.61%,0.00%,1.06%,0.43%,0.71%,027.45%←,039.60%→,028.55%→,105.98%←,016.41%←,100.00%←,087.14%→,340.07%←,582.88%←
wchfv,rsntg,xmldb,_yujq,kieoa,zp___,hands-down-alt,873.645237,1.24%,008.96%←,56.63%,031.37%←,6.69%,52705286703.91,063.46%←,092.32%←,1.30,011.73%←,1.37,1.23,11.89% │ 13.64% │ 14.46% │ 14.44% │ 07.62%,01.35% │ 11.21% │ 08.25% │ 06.48% │ 10.67%,08.41% │ 12.38% │ 16.44% │ 14.80% │ 04.75%,00.88% │ 11.44% │ 14.75% │ 07.79% │ 08.37%,011.43%← │ 110.58%← │ 075.23%← │ 028.75%← │ 465.01%←,00.49% │ 02.31% │ 00.72% │ 01.04%,02.90% │ 01.06% │ 00.94% │ 00.09%,426.06%← │ 290.91%← │ 024.11%→ │ 043.26%→,23.97%,55.91%,20.12%,193.19%← │ 005.71%→ │ 452.85%←,62.04%,37.96%,56.78%,43.22%,32700228654.73,20005058049.18,9807443213,7465567240,9781718458,111914127,102708663,2648853946,1377327251,1155031909,005.71%→,11.89%,13.64%,14.46%,14.44%,7.62%,10.67%,6.48%,8.25%,11.21%,1.35%,0.49%,2.31%,0.72%,1.04%,0.09%,0.94%,1.06%,2.90%,011.43%←,110.58%←,075.23%←,028.75%←,465.01%←,426.06%←,290.91%←,024.11%→,043.26%→
vlndk,tsrhf,zxpb_,qwouj,gcaei,my___,kuntem,819.539913,1.15%,126.46%←,52.43%,000.51%←,5.72%,57459955479.03,000.92%←,017.32%→,1.38,007.13%→,1.33,1.43,12.56% │ 10.72% │ 12.39% │ 10.69% │ 03.86%,07.49% │ 06.55% │ 12.47% │ 13.70% │ 09.57%,10.00% │ 10.91% │ 16.16% │ 10.12% │ 02.93%,04.75% │ 06.72% │ 15.83% │ 14.75% │ 07.82%,031.21%← │ 021.73%→ │ 000.61%→ │ 063.37%← │ 048.42%→,00.14% │ 01.65% │ 03.40% │ 00.43%,01.01% │ 00.43% │ 01.06% │ 00.17%,004.20%← │ 015.48%← │ 715.81%← │ 051.74%→,33.36%,55.30%,11.34%,036.37%← │ 010.10%→ │ 026.54%→,50.23%,49.77%,50.13%,49.87%,28861442665.71,28598512813.32,8658357904,8614652549,9056753663,138118903,60991413,2150282470,2600863522,988836861,010.10%→,12.56%,10.72%,12.39%,10.69%,3.86%,9.57%,13.70%,12.47%,6.55%,7.49%,0.14%,1.65%,3.40%,0.43%,0.17%,1.06%,0.43%,1.01%,031.21%←,021.73%→,000.61%→,063.37%←,048.42%→,004.20%←,015.48%←,715.81%←,051.74%→
qwfpb,arstg,xcdvz,jluy_,mneio,kh___,colemak-angle-mod,694.224179,1.09%,006.94%←,46.48%,006.26%→,7.03%,57497280535.83,002.94%→,032.77%→,1.50,015.18%→,1.39,1.63,11.24% │ 12.45% │ 09.67% │ 10.56% │ 05.33%,05.21% │ 16.61% │ 11.04% │ 08.66% │ 09.24%,08.56% │ 11.55% │ 12.46% │ 12.02% │ 03.80%,03.58% │ 16.44% │ 14.75% │ 09.29% │ 07.56%,021.64%← │ 043.85%← │ 012.38%→ │ 036.41%→ │ 002.44%←,00.47% │ 02.35% │ 01.01% │ 00.79%,01.70% │ 01.06% │ 00.34% │ 00.00%,100.00%← │ 770.45%← │ 019.22%→ │ 062.98%→,20.29%,62.53%,17.18%,015.31%→ │ 012.21%→ │ 065.87%←,49.25%,50.75%,48.38%,51.62%,28320211871.00,29177068664.83,8357371531,8915638922,8027754532,97320100,91005926,2323842639,3456302484,1214832241,012.21%→,11.24%,12.45%,9.67%,10.56%,5.33%,9.24%,8.66%,11.04%,16.61%,5.21%,0.47%,2.35%,1.01%,0.79%,0.00%,0.34%,1.06%,1.70%,021.64%←,043.85%←,012.38%→,036.41%→,002.44%←,100.00%←,770.45%←,019.22%→,062.98%→
