keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_wylx,hretc,vgkqu,pmof_,dinas,zbj__,sanidcterh,1171.878489,15.91%,→000.01%,38.31%,→000.37%,59320901805.98,←002.02%,←000.45%,1.71,←000.59%,1.72,1.71,07.48% │ 09.92% │ 12.06% │ 12.12% │ 08.91%,08.71% │ 11.31% │ 12.36% │ 09.63% │ 07.48%,06.45% │ 10.46% │ 15.28% │ 11.81% │ 06.10%,06.30% │ 13.16% │ 14.42% │ 10.27% │ 05.76%,→000.01% │ ←002.97% │ →002.43% │ ←007.19% │ ←002.31%,26.23% │ 61.65% │ 12.11%,→044.97% │ ←004.61% │ ←294.78%,50.50%,49.50%,49.91%,50.09%,29956753028.95,29364148777.03,8620525240,8652485213,6617478753,1373665552,1373822526,3603271552,3587149350
_wylx,hretc,vgkqu,pmof_,dinas,jbz__,sanidcterh,1171.762927,15.91%,→000.01%,38.31%,→000.37%,59340380012.99,←001.95%,←000.45%,1.71,←000.59%,1.72,1.71,07.48% │ 09.92% │ 12.06% │ 12.12% │ 08.91%,08.84% │ 11.30% │ 12.26% │ 09.63% │ 07.48%,06.45% │ 10.46% │ 15.18% │ 11.81% │ 06.20%,06.30% │ 13.16% │ 14.42% │ 10.27% │ 05.76%,→000.01% │ ←002.92% │ →001.67% │ ←007.25% │ ←000.80%,26.23% │ 61.63% │ 12.14%,→044.98% │ ←004.61% │ ←290.28%,50.48%,49.52%,49.91%,50.09%,29956753028.95,29383626984.04,8620525240,8652485213,6617478753,1373665552,1373822526,3603271552,3587149350
_wylz,hretc,vgkju,pmof_,danis,xbq__,sinadcterh,1168.451792,15.62%,←000.61%,38.59%,→000.10%,59504094312.31,←001.47%,←000.54%,1.71,←000.45%,1.71,1.70,07.46% │ 09.89% │ 12.10% │ 12.19% │ 08.74%,08.82% │ 11.81% │ 12.32% │ 09.21% │ 07.47%,06.45% │ 09.77% │ 15.15% │ 12.49% │ 06.16%,06.24% │ 13.29% │ 14.42% │ 10.27% │ 05.76%,→000.24% │ ←007.40% │ →001.81% │ ←003.16% │ →000.93%,26.12% │ 61.71% │ 12.17%,→046.02% │ ←003.87% │ ←306.72%,50.37%,49.63%,49.98%,50.02%,29969447050.15,29534647262.16,8632193147,8640817306,6665025756,1353445740,1345305233,3580982397,3561891502
_wylz,hretc,vgkju,pmof_,danis,qbx__,sinadcterh,1168.413060,15.62%,←000.61%,38.59%,→000.10%,59467453065.49,←001.60%,←000.54%,1.71,←000.45%,1.71,1.70,07.46% │ 09.90% │ 12.10% │ 12.20% │ 08.74%,08.66% │ 11.81% │ 12.44% │ 09.21% │ 07.48%,06.45% │ 09.77% │ 15.24% │ 12.49% │ 06.07%,06.24% │ 13.29% │ 14.42% │ 10.27% │ 05.76%,→000.24% │ ←007.46% │ →002.71% │ ←003.25% │ ←000.88%,26.12% │ 61.73% │ 12.14%,→045.98% │ ←003.92% │ ←312.40%,50.40%,49.60%,49.98%,50.02%,29969447050.15,29498006015.34,8632193147,8640817306,6665025756,1353445740,1345305233,3580982397,3561891502
_vylz,hretc,kgwju,pmof_,danis,qbx__,sinadcterh,1168.077903,15.62%,←000.49%,38.59%,→000.10%,59370788341.74,←001.27%,←000.54%,1.71,←000.45%,1.71,1.70,07.07% │ 09.29% │ 12.97% │ 12.23% │ 08.76%,08.68% │ 11.83% │ 12.46% │ 09.22% │ 07.49%,06.45% │ 09.77% │ 15.24% │ 12.49% │ 06.07%,06.24% │ 13.29% │ 15.36% │ 09.66% │ 05.43%,→005.62% │ ←000.70% │ ←004.14% │ ←003.34% │ ←000.89%,25.55% │ 61.79% │ 12.66%,→049.60% │ ←003.77% │ ←333.35%,50.32%,49.68%,49.98%,50.02%,29872782326.40,29498006015.34,8632193147,8640817306,6665025756,1351899230,1345305233,3580982397,3561891502
_vylx,hretc,kgwqu,fmop_,dains,jbz__,sniadcterh,1167.967853,15.90%,→000.13%,38.31%,→000.37%,59153927040.57,←001.93%,←000.45%,1.71,←000.59%,1.72,1.71,07.10% │ 09.32% │ 12.95% │ 12.17% │ 08.94%,08.99% │ 11.81% │ 12.22% │ 09.02% │ 07.49%,06.45% │ 09.64% │ 15.28% │ 12.49% │ 06.24%,06.30% │ 13.16% │ 15.36% │ 09.66% │ 05.43%,→005.21% │ ←003.36% │ ←006.01% │ ←003.03% │ →000.54%,25.82% │ 61.48% │ 12.70%,→048.99% │ ←005.51% │ ←306.51%,50.48%,49.52%,49.91%,50.09%,29859899911.70,29294027128.87,8620525240,8652485213,6617478753,1372039612,1373822526,3603271552,3587149350
_vylq,hretc,kgwju,pmof_,dains,zbx__,sniadcterh,1167.201838,15.87%,←000.69%,38.44%,→000.22%,59120230511.57,←002.08%,←000.21%,1.71,←000.30%,1.71,1.71,07.10% │ 09.33% │ 12.97% │ 12.28% │ 08.85%,08.81% │ 11.92% │ 12.13% │ 09.13% │ 07.50%,06.45% │ 09.68% │ 15.34% │ 12.49% │ 06.10%,06.21% │ 13.29% │ 15.36% │ 09.66% │ 05.43%,→005.32% │ ←002.20% │ ←006.90% │ ←002.97% │ ←000.42%,25.59% │ 61.56% │ 12.85%,→049.78% │ ←005.04% │ ←329.17%,50.51%,49.49%,49.95%,50.05%,29864489071.76,29255741439.81,8627166815,8645843638,6639073196,1374867286,1365502906,3588089662,3580736797
_vylq,hretc,kgwzu,pmof_,dains,xbj__,sniadcterh,1167.195552,15.98%,→000.05%,38.44%,→000.62%,59162753785.42,←001.42%,→000.10%,1.71,←000.37%,1.71,1.71,07.09% │ 09.32% │ 12.97% │ 12.16% │ 08.81%,08.90% │ 11.92% │ 12.22% │ 09.12% │ 07.49%,06.45% │ 09.68% │ 15.38% │ 12.49% │ 06.16%,06.21% │ 13.19% │ 15.36% │ 09.66% │ 05.43%,→005.31% │ ←002.19% │ ←006.12% │ ←002.07% │ →001.05%,25.65% │ 61.51% │ 12.83%,→049.99% │ ←005.08% │ ←302.69%,50.35%,49.65%,49.84%,50.16%,29789272061.07,29373481724.35,8609641947,8663368506,6639251761,1380111178,1380758656,3582574315,3586073579
_fupb,laerd,xzwck,_gnv_,sitoh,jmqy_,hotisdreal,1165.112372,18.35%,←001.78%,37.71%,→001.29%,56795092650.79,→000.58%,→001.04%,1.73,←000.19%,1.73,1.73,05.91% │ 10.58% │ 12.61% │ 11.54% │ 09.20%,09.02% │ 11.84% │ 12.82% │ 10.46% │ 06.00%,04.68% │ 10.34% │ 16.38% │ 12.24% │ 06.68%,06.19% │ 12.00% │ 16.44% │ 10.58% │ 04.46%,→001.52% │ ←001.14% │ →001.62% │ →002.48% │ ←002.01%,22.41% │ 64.00% │ 13.59%,→006.42% │ →004.19% │ ←030.96%,49.85%,50.15%,49.68%,50.32%,28314567282.95,28480525367.84,8580546419,8692464034,6514391428,1599043098,1571040614,3627743447,3665764780
_fupb,laerd,xzwck,_gny_,sitoh,jmqv_,hotisdreal,1165.009476,18.31%,←002.23%,37.71%,→001.29%,56804451757.75,→000.62%,→001.04%,1.73,←000.19%,1.73,1.73,05.91% │ 10.58% │ 12.61% │ 11.54% │ 09.20%,09.02% │ 11.90% │ 12.81% │ 10.42% │ 06.00%,04.68% │ 10.34% │ 16.38% │ 12.24% │ 06.68%,06.19% │ 12.00% │ 16.44% │ 10.58% │ 04.46%,→001.52% │ ←001.56% │ →001.55% │ →003.04% │ ←002.01%,23.14% │ 64.05% │ 12.81%,→012.00% │ →004.37% │ ←050.89%,49.85%,50.15%,49.68%,50.32%,28314567282.95,28489884474.80,8580546419,8692464034,6514391428,1599043098,1564171214,3627743447,3665764780
_fupb,laerd,xzwck,_gnv_,sitoh,qmjy_,hotisdreal,1164.815419,18.35%,←001.78%,37.71%,→001.29%,56755025573.27,→000.44%,→001.04%,1.73,←000.19%,1.73,1.73,05.92% │ 10.59% │ 12.62% │ 11.55% │ 09.21%,08.83% │ 11.84% │ 12.98% │ 10.45% │ 06.01%,04.68% │ 10.34% │ 16.51% │ 12.24% │ 06.55%,06.19% │ 12.00% │ 16.44% │ 10.58% │ 04.46%,→001.52% │ ←001.31% │ →002.77% │ →002.43% │ ←004.29%,22.43% │ 64.02% │ 13.56%,→006.42% │ →004.13% │ ←032.01%,49.89%,50.11%,49.68%,50.32%,28314567282.95,28440458290.32,8580546419,8692464034,6514391428,1599043098,1571040614,3627743447,3665764780
_fupb,daerl,kxwcz,_gnv_,sitoh,jmqy_,hotislread,1164.273025,18.35%,←001.78%,37.71%,→001.29%,56842905513.10,→000.41%,→001.04%,1.73,←000.19%,1.73,1.73,05.97% │ 10.69% │ 12.63% │ 11.47% │ 09.14%,09.01% │ 11.83% │ 12.81% │ 10.46% │ 06.00%,04.68% │ 10.34% │ 16.38% │ 12.24% │ 06.68%,06.02% │ 12.00% │ 16.44% │ 10.65% │ 04.57%,→000.50% │ ←002.24% │ →001.42% │ →003.01% │ ←001.40%,22.38% │ 64.13% │ 13.49%,→006.53% │ →003.61% │ ←029.37%,49.90%,50.10%,49.68%,50.32%,28362380145.26,28480525367.84,8580546419,8692464034,6514391428,1599043098,1571040614,3627743447,3665764780
_fupb,daerl,kxwcz,_gnv_,sitoh,qmjy_,hotislread,1164.190167,18.35%,←001.78%,37.71%,→001.29%,56802838435.58,→000.27%,→001.04%,1.73,←000.19%,1.73,1.73,05.97% │ 10.70% │ 12.64% │ 11.48% │ 09.15%,08.82% │ 11.83% │ 12.97% │ 10.45% │ 06.00%,04.68% │ 10.34% │ 16.51% │ 12.24% │ 06.55%,06.02% │ 12.00% │ 16.44% │ 10.65% │ 04.57%,→000.50% │ ←002.42% │ →002.56% │ →002.97% │ ←003.67%,22.39% │ 64.15% │ 13.45%,→006.53% │ →003.54% │ ←030.41%,49.93%,50.07%,49.68%,50.32%,28362380145.26,28440458290.32,8580546419,8692464034,6514391428,1599043098,1571040614,3627743447,3665764780
_fupb,daerl,kxwcz,_gny_,sitoh,jmqv_,hotislread,1164.117232,18.31%,←002.23%,37.71%,→001.29%,56852264620.06,→000.45%,→001.04%,1.73,←000.19%,1.73,1.73,05.97% │ 10.69% │ 12.63% │ 11.47% │ 09.14%,09.01% │ 11.89% │ 12.80% │ 10.41% │ 06.00%,04.68% │ 10.34% │ 16.38% │ 12.24% │ 06.68%,06.02% │ 12.00% │ 16.44% │ 10.65% │ 04.57%,→000.50% │ ←002.67% │ →001.35% │ →003.58% │ ←001.40%,23.11% │ 64.18% │ 12.71%,→012.10% │ →003.79% │ ←049.06%,49.89%,50.11%,49.68%,50.32%,28362380145.26,28489884474.80,8580546419,8692464034,6514391428,1599043098,1564171214,3627743447,3665764780
