keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_mpub,hterd,vzjck,wfog_,lanis,_yqx_,hterdlanis,1180.947955,16.45%,←000.45%,37.43%,←001.84%,58869788206.41,←001.24%,←001.20%,1.74,→000.46%,1.74,1.74,07.52% │ 09.70% │ 12.31% │ 12.19% │ 08.59%,08.37% │ 11.52% │ 12.55% │ 09.68% │ 07.57%,05.76% │ 11.53% │ 14.35% │ 12.64% │ 06.19%,05.96% │ 12.16% │ 15.15% │ 09.83% │ 06.45%,→000.71% │ ←000.20% │ →001.94% │ ←005.78% │ ←002.70%,26.61%,63.69%,09.70%,→027.68% │ ←001.48% │ ←167.53%,50.31%,49.69%,50.46%,49.54%,29615728970.95,29254059235.46,8715179642,8557830811,6464440843,1424112205,1417688476,3693649277,3649809535
_pumy,hterc,kxzdv,bfow_,lanis,_gqj_,hterclanis,1180.454553,16.88%,←002.14%,37.34%,←002.02%,57967273332.81,←000.43%,←000.31%,1.74,→001.25%,1.73,1.75,07.32% │ 09.50% │ 12.70% │ 11.83% │ 08.76%,08.61% │ 11.73% │ 12.77% │ 09.11% │ 07.67%,05.43% │ 11.13% │ 14.88% │ 12.96% │ 06.11%,05.89% │ 12.51% │ 15.15% │ 09.51% │ 06.45%,→004.57% │ ←004.35% │ →000.59% │ ←000.79% │ ←001.77%,26.33%,63.36%,10.31%,→023.65% │ →003.33% │ ←175.35%,50.11%,49.89%,50.50%,49.50%,29045977114.37,28921296218.44,8723026108,8549984345,6449431820,1473302528,1442402738,3684852465,3673615370
_pumy,hterc,vxzdk,bfow_,lanis,_gqj_,hterclanis,1179.845319,16.88%,←002.14%,37.34%,←002.02%,57971991089.97,←000.45%,←000.31%,1.74,→001.25%,1.73,1.75,07.74% │ 09.50% │ 12.70% │ 11.83% │ 08.34%,08.61% │ 11.73% │ 12.77% │ 09.10% │ 07.67%,05.76% │ 11.13% │ 14.88% │ 12.96% │ 05.78%,05.89% │ 12.51% │ 15.15% │ 09.51% │ 06.45%,←000.95% │ ←004.35% │ →000.58% │ ←000.81% │ →003.10%,26.33%,63.35%,10.32%,→023.64% │ →003.33% │ ←175.62%,50.11%,49.89%,50.50%,49.50%,29050694871.53,28921296218.44,8723026108,8549984345,6449431820,1473302528,1442402738,3684852465,3673615370
_pumy,hterc,vqzdk,bfow_,lanis,_gxj_,hterclanis,1178.973020,16.89%,←000.25%,37.39%,←001.65%,57976025086.85,→000.14%,→000.55%,1.74,→001.60%,1.73,1.76,07.74% │ 09.29% │ 12.77% │ 11.83% │ 08.33%,08.61% │ 11.74% │ 12.89% │ 09.12% │ 07.67%,05.76% │ 11.04% │ 14.88% │ 12.96% │ 05.78%,05.89% │ 12.51% │ 15.24% │ 09.51% │ 06.45%,←000.91% │ ←001.86% │ →000.91% │ ←000.72% │ →003.22%,26.38%,63.31%,10.31%,→023.38% │ →003.61% │ ←160.03%,49.97%,50.03%,50.41%,49.59%,28967747765.24,29008277321.61,8707116483,8565893970,6457569108,1460673094,1456959522,3665104073,3685226474
_fmcy,rnead,_kxbq,_ulpj,hitos,vwgz_,sotihdaenr,1178.743569,16.50%,←000.25%,38.40%,←002.27%,57738614444.56,←000.59%,←002.12%,1.71,→000.10%,1.71,1.71,07.91% │ 09.49% │ 10.93% │ 13.08% │ 08.74%,08.73% │ 12.38% │ 10.95% │ 09.76% │ 08.04%,06.68% │ 09.84% │ 15.11% │ 12.06% │ 05.76%,05.63% │ 13.22% │ 14.76% │ 10.42% │ 06.53%,→001.52% │ →002.81% │ →000.19% │ ←005.69% │ ←000.07%,23.57%,66.55%,09.88%,←012.71% │ ←005.35% │ →044.78%,50.15%,49.85%,50.56%,49.44%,28953710284.21,28784904160.35,8733281233,8539729220,6633136017,1427239408,1423624851,3625081969,3549681669
_fmcy,rnead,_kxbq,_ulpj,hitos,vgwz_,sotihdaenr,1178.493264,16.50%,←000.25%,38.40%,←002.27%,57793663829.04,←000.39%,←002.12%,1.71,→000.10%,1.71,1.71,07.91% │ 09.48% │ 10.92% │ 13.07% │ 08.73%,08.71% │ 12.91% │ 10.48% │ 09.77% │ 08.02%,06.68% │ 09.84% │ 14.75% │ 12.42% │ 05.76%,05.63% │ 13.22% │ 14.76% │ 10.42% │ 06.53%,→001.47% │ →002.98% │ ←004.13% │ ←001.20% │ ←000.21%,23.54%,66.45%,10.01%,←012.75% │ ←005.47% │ →045.93%,50.10%,49.90%,50.56%,49.44%,28953710284.21,28839953544.83,8733281233,8539729220,6633136017,1427239408,1423624851,3625081969,3549681669
_fmcy,rnead,_kjbq,_ulpx,hitos,vgwz_,sotihdaenr,1178.301129,16.42%,→000.91%,38.49%,←002.42%,57768592468.92,←000.64%,←001.88%,1.71,→000.38%,1.70,1.71,07.91% │ 09.48% │ 10.96% │ 13.08% │ 08.73%,08.72% │ 12.89% │ 10.55% │ 09.71% │ 07.98%,06.64% │ 09.84% │ 14.75% │ 12.42% │ 05.76%,05.63% │ 13.22% │ 14.80% │ 10.42% │ 06.53%,→000.84% │ →002.34% │ ←003.88% │ ←001.48% │ ←000.16%,23.48%,66.50%,10.02%,←013.26% │ ←005.68% │ →045.80%,50.16%,49.84%,50.60%,49.40%,28976837821.99,28791754646.93,8739922808,8533087645,6648709656,1411277886,1424292690,3612910481,3546279518
_bmcy,raend,_kzgq,_ulpj,hitos,vwfx_,sotihdnear,1177.169645,17.86%,→000.72%,36.50%,←001.46%,58270587680.14,→000.66%,←002.90%,1.77,←001.09%,1.78,1.76,07.96% │ 10.44% │ 10.84% │ 12.02% │ 08.58%,08.55% │ 12.32% │ 11.35% │ 10.02% │ 07.94%,06.68% │ 09.90% │ 15.25% │ 12.06% │ 05.76%,05.63% │ 12.87% │ 14.70% │ 10.64% │ 06.53%,←000.29% │ ←004.24% │ →004.49% │ →002.43% │ ←000.35%,22.77%,66.32%,10.90%,←007.04% │ ←004.77% │ →039.12%,49.83%,50.17%,50.36%,49.64%,29038535338.98,29232052341.16,8699011234,8573999219,6305311208,1537324385,1548439314,3804977049,3697611398
_bmcy,raend,_kqgz,_ulpj,hitos,vwfx_,sotihdnear,1176.495035,17.86%,→000.72%,36.50%,←001.46%,58284812344.08,→000.61%,←002.90%,1.77,←001.09%,1.78,1.76,07.96% │ 10.44% │ 10.81% │ 12.02% │ 08.62%,08.54% │ 12.32% │ 11.35% │ 10.01% │ 07.93%,06.68% │ 09.90% │ 15.25% │ 12.06% │ 05.76%,05.66% │ 12.87% │ 14.67% │ 10.64% │ 06.53%,←000.29% │ ←004.30% │ →004.77% │ →002.43% │ ←000.92%,22.77%,66.32%,10.91%,←007.05% │ ←004.80% │ →038.93%,49.85%,50.15%,50.36%,49.64%,29052760002.92,29232052341.16,8699011234,8573999219,6305311208,1537324385,1548439314,3804977049,3697611398
_bmcy,raend,_zkgq,_ulpj,hitos,vwfx_,sotihdnear,1175.728174,17.86%,→000.72%,36.50%,←001.46%,58265906828.33,→000.68%,←002.90%,1.77,←001.09%,1.78,1.76,07.96% │ 09.48% │ 11.80% │ 12.02% │ 08.58%,08.55% │ 12.32% │ 11.35% │ 10.02% │ 07.94%,06.68% │ 09.90% │ 15.25% │ 12.06% │ 05.76%,05.63% │ 12.87% │ 15.32% │ 10.02% │ 06.53%,←000.26% │ →005.35% │ ←003.96% │ →002.47% │ ←000.34%,22.78%,66.36%,10.86%,←007.03% │ ←004.86% │ →039.67%,49.83%,50.17%,50.36%,49.64%,29033854487.17,29232052341.16,8699011234,8573999219,6305311208,1537324385,1548439314,3804977049,3697611398
_mudp,sienc,_qjwz,xylv_,hator,kfgb_,sienchator,1160.380045,17.29%,←001.20%,39.95%,←001.30%,56826425499.93,←000.65%,←001.17%,1.67,→000.08%,1.67,1.67,07.97% │ 10.31% │ 10.86% │ 12.65% │ 08.37%,08.25% │ 12.36% │ 10.51% │ 10.64% │ 08.09%,06.45% │ 10.29% │ 14.98% │ 13.00% │ 05.60%,05.62% │ 12.16% │ 15.11% │ 10.26% │ 06.53%,→001.41% │ →003.10% │ ←003.35% │ ←002.39% │ ←001.45%,23.91%,65.10%,10.99%,←074.69% │ →000.94% │ →069.65%,50.16%,49.84%,50.32%,49.68%,28504636917.42,28321788582.51,8692223413,8580787040,6900714646,1502555737,1484672158,3473723824,3433461185
_mudp,sienc,_qzwj,xylk_,hator,vfgb_,sienchator,1160.364170,17.28%,←001.36%,39.95%,←001.30%,56946543011.74,←000.40%,←001.17%,1.67,→000.08%,1.67,1.67,07.96% │ 10.28% │ 10.75% │ 12.62% │ 08.48%,08.79% │ 12.38% │ 10.48% │ 10.18% │ 08.07%,06.45% │ 10.29% │ 14.88% │ 13.00% │ 05.70%,05.95% │ 12.16% │ 15.11% │ 09.93% │ 06.53%,→001.39% │ ←001.00% │ ←002.65% │ ←001.95% │ →003.52%,23.41%,65.01%,11.57%,←084.36% │ →001.11% │ →071.11%,50.10%,49.90%,50.32%,49.68%,28530149654.94,28416393356.80,8692223413,8580787040,6900714646,1502555737,1482454624,3473723824,3433461185
_mudp,sienc,_zjwq,xylv_,hator,kfgb_,sienchator,1160.233536,17.29%,←001.20%,39.95%,←001.30%,56822801378.20,←000.63%,←001.17%,1.67,→000.08%,1.67,1.67,07.97% │ 10.35% │ 10.87% │ 12.65% │ 08.31%,08.25% │ 12.36% │ 10.51% │ 10.64% │ 08.09%,06.45% │ 10.32% │ 14.98% │ 13.00% │ 05.57%,05.62% │ 12.16% │ 15.11% │ 10.26% │ 06.53%,→001.41% │ →002.68% │ ←003.40% │ ←002.38% │ ←000.77%,23.93%,65.09%,10.98%,←074.91% │ →000.99% │ →069.79%,50.16%,49.84%,50.32%,49.68%,28501012795.69,28321788582.51,8692223413,8580787040,6900714646,1502555737,1484672158,3473723824,3433461185
jmubg,lread,wvxfz,kyoc_,htins,qp___,lreadhtins,1152.059845,18.04%,←001.50%,36.98%,→002.30%,58365664533.44,←001.05%,→002.89%,1.75,→000.45%,1.75,1.76,08.03% │ 10.18% │ 11.77% │ 11.66% │ 08.61%,08.42% │ 11.26% │ 12.10% │ 10.43% │ 07.53%,06.19% │ 10.21% │ 14.94% │ 12.08% │ 06.00%,05.53% │ 12.65% │ 15.15% │ 10.82% │ 06.45%,←006.58% │ →002.34% │ →002.71% │ ←003.55% │ ←002.34%,27.27%,63.14%,09.59%,→025.25% │ ←001.07% │ ←151.02%,50.26%,49.74%,49.42%,50.58%,29334567336.18,29031097197.26,8535851599,8737158854,6388391633,1569617074,1546486313,3655447364,3764060658
qmubg,lread,wvjfx,kyoc_,htins,zp___,lreadhtins,1150.558748,18.20%,←001.29%,36.89%,→002.42%,58354138565.89,←000.62%,→003.19%,1.76,→000.60%,1.75,1.76,07.82% │ 10.18% │ 11.81% │ 11.62% │ 08.73%,08.48% │ 11.27% │ 12.14% │ 10.43% │ 07.53%,06.06% │ 10.21% │ 14.98% │ 12.08% │ 06.07%,05.55% │ 12.65% │ 15.15% │ 10.82% │ 06.45%,←003.88% │ →002.36% │ →002.74% │ ←003.06% │ ←002.97%,27.19%,63.05%,09.76%,→026.00% │ ←000.58% │ ←150.44%,50.16%,49.84%,49.39%,50.61%,29267548229.41,29086590336.48,8530825267,8742185186,6372378083,1582261946,1562169363,3657585124,3777936448
