keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,effort,efforts_imbalance,roll_imbalance,mean_streak,streak_imbalance,left_streak,right_streak,left_column_effort_ratio,right_column_effort_ratio,left_column_press_ratio,right_column_press_ratio,column_balance,top_row_effort_ratio,home_row_effort_ratio,bottom_row_effort_ratio,row_balance,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls
_gfmq,notih,zxcvy,blupj,dreas,kw___,notihdreas,1150.041564,17.75%,→000.90%,36.49%,→002.05%,58487110944.63,←001.68%,→001.22%,1.77,←000.65%,1.77,1.76,08.97% │ 10.48% │ 10.46% │ 10.91% │ 09.59%,08.94% │ 11.99% │ 10.45% │ 10.02% │ 08.18%,07.62% │ 09.80% │ 14.31% │ 11.27% │ 06.48%,06.19% │ 12.49% │ 14.75% │ 10.42% │ 06.68%,←009.66% │ ←004.63% │ ←000.04% │ →008.97% │ ←007.27%,22.81%,65.49%,11.70%,→038.26% │ ←002.35% │ ←175.58%,50.42%,49.58%,49.48%,50.52%,29487115724.45,28999995220.18,8546973169,8726037284,6303542101,1525980747,1539844970,3729062242,3775295312
_yfdj,nitoh,zxcvb,glpuk,maers,wq___,nitohmaers,1149.893143,17.71%,→001.75%,37.28%,←001.62%,60033641346.18,←000.81%,←000.04%,1.74,→001.15%,1.73,1.75,08.79% │ 09.16% │ 10.34% │ 12.68% │ 09.22%,08.99% │ 12.75% │ 09.96% │ 09.11% │ 08.99%,07.62% │ 09.48% │ 14.31% │ 12.46% │ 06.53%,06.35% │ 12.64% │ 14.12% │ 09.31% │ 07.19%,→002.22% │ ←000.62% │ ←003.84% │ →000.51% │ ←002.53%,25.06%,64.17%,10.77%,→038.45% │ ←002.35% │ ←218.15%,50.20%,49.80%,50.40%,49.60%,30137185936.04,29896455410.14,8705690692,8567319761,6439840893,1516389175,1543440837,3684796501,3683262261
_duqb,sraep,zxcvy,jgnfw,hitol,km___,sraephitol,1149.871769,20.79%,←000.16%,37.65%,←000.45%,58907357784.80,←001.99%,→001.98%,1.73,→001.78%,1.72,1.75,07.81% │ 10.57% │ 11.65% │ 12.31% │ 08.15%,08.22% │ 12.03% │ 11.48% │ 10.05% │ 07.72%,06.58% │ 10.54% │ 14.38% │ 13.15% │ 05.47%,05.66% │ 12.24% │ 16.28% │ 09.75% │ 05.96%,←001.14% │ ←005.14% │ ←001.52% │ ←002.29% │ →000.84%,26.30%,60.76%,12.94%,→035.84% │ ←007.37% │ ←109.17%,50.49%,49.51%,50.11%,49.89%,29744056955.85,29163300828.95,8655934687,8617075766,6503443047,1797001419,1794219350,3615755733,3688700875
_fgmq,nitoh,zxcvy,plubk,dreas,jw___,nitohdreas,1149.570158,17.78%,→001.19%,36.49%,→002.05%,58886318100.80,←000.82%,→001.22%,1.77,←000.65%,1.77,1.76,08.98% │ 09.80% │ 10.81% │ 11.12% │ 09.49%,08.89% │ 12.13% │ 10.43% │ 09.24% │ 09.12%,07.62% │ 09.97% │ 14.17% │ 11.24% │ 06.48%,06.20% │ 12.49% │ 14.75% │ 09.89% │ 07.19%,→001.49% │ ←006.06% │ ←003.67% │ →008.29% │ ←006.82%,23.62%,65.60%,10.78%,→044.07% │ ←002.32% │ ←284.60%,50.20%,49.80%,49.48%,50.52%,29563276248.12,29323041852.68,8546973169,8726037284,6303542101,1525980747,1544424734,3729062242,3775295312
_fgmq,nitoh,zxcvb,ylupj,dsear,kw___,nitohdsear,1148.909448,17.57%,←000.98%,36.84%,→002.38%,59022237094.19,←000.26%,→000.13%,1.76,←001.74%,1.77,1.74,08.95% │ 09.85% │ 10.78% │ 11.15% │ 09.34%,09.30% │ 12.01% │ 10.31% │ 09.90% │ 08.41%,07.62% │ 09.97% │ 14.17% │ 11.24% │ 06.40%,06.27% │ 12.41% │ 14.75% │ 10.42% │ 06.76%,←006.37% │ →000.48% │ ←004.55% │ →007.14% │ ←000.35%,22.46%,66.05%,11.48%,→039.90% │ ←001.29% │ ←171.89%,50.07%,49.93%,49.40%,50.60%,29550080128.81,29472156965.38,8532485128,8740525325,6362964423,1524980112,1510139089,3720037073,3724898159
_ufjy,rnoed,zxcvk,qpsmw,haitl,bg___,rnoedhaitl,1148.722750,18.79%,→000.49%,37.08%,→001.02%,60869132022.23,→001.86%,←001.56%,1.75,←001.95%,1.77,1.73,07.84% │ 09.68% │ 10.80% │ 12.02% │ 09.18%,09.42% │ 12.31% │ 11.49% │ 09.63% │ 07.62%,06.66% │ 10.46% │ 13.08% │ 13.28% │ 06.27%,06.40% │ 12.47% │ 14.03% │ 11.40% │ 05.96%,←002.99% │ ←000.51% │ →006.01% │ →002.35% │ →002.48%,23.11%,65.28%,11.62%,→039.35% │ ←007.87% │ ←048.05%,49.53%,50.47%,49.74%,50.26%,30149134638.44,30719997383.79,8592051373,8680959080,6405145309,1618941199,1626977292,3730024458,3672729888
_gfmq,nitoh,zxcvb,ylupj,dsear,kw___,nitohdsear,1148.564880,17.57%,←000.98%,36.84%,→002.38%,59061859707.08,←000.40%,→000.13%,1.76,←001.74%,1.77,1.74,08.96% │ 10.19% │ 10.50% │ 11.09% │ 09.36%,09.30% │ 12.00% │ 10.30% │ 09.90% │ 08.41%,07.62% │ 09.83% │ 14.31% │ 11.24% │ 06.40%,06.27% │ 12.41% │ 14.75% │ 10.42% │ 06.76%,←006.59% │ ←002.96% │ ←001.94% │ →007.57% │ ←000.65%,22.59%,65.93%,11.48%,→038.89% │ ←001.06% │ ←171.90%,50.10%,49.90%,49.40%,50.60%,29589702741.70,29472156965.38,8532485128,8740525325,6362964423,1524980112,1510139089,3720037073,3724898159
_ygdj,notih,zxcvb,psufq,mlear,wk___,notihmlear,1148.275618,17.65%,→001.60%,37.73%,←001.07%,60084558160.88,←000.59%,←001.47%,1.73,←000.29%,1.73,1.73,08.72% │ 09.39% │ 10.24% │ 12.50% │ 09.30%,09.23% │ 12.17% │ 10.30% │ 09.95% │ 08.20%,07.62% │ 09.46% │ 14.17% │ 12.49% │ 06.53%,06.44% │ 11.46% │ 14.75% │ 10.46% │ 06.63%,←006.32% │ →005.66% │ →000.52% │ ←002.71% │ ←000.70%,26.59%,61.89%,11.53%,→041.60% │ ←008.39% │ ←142.15%,50.15%,49.85%,50.27%,49.73%,30131354545.59,29953203615.29,8682303986,8590706467,6517622222,1511669688,1536264204,3671699245,3618578188
_wgdq,nitoh,zxcvy,blpuj,maesr,fk___,nitohmaesr,1147.899215,18.14%,→000.55%,36.60%,←000.83%,60418081055.51,←000.14%,←000.04%,1.76,→000.60%,1.76,1.77,08.80% │ 08.97% │ 10.45% │ 12.40% │ 09.41%,09.08% │ 13.52% │ 10.12% │ 08.96% │ 08.29%,07.62% │ 09.47% │ 14.17% │ 12.46% │ 06.48%,06.41% │ 13.28% │ 14.12% │ 09.23% │ 06.76%,←006.20% │ ←000.10% │ ←003.30% │ →008.29% │ ←003.66%,23.36%,64.19%,12.45%,→034.25% │ ←002.06% │ ←103.43%,50.03%,49.97%,50.21%,49.79%,30229636793.66,30188444261.85,8672071502,8600938951,6322058577,1562718339,1571403289,3743726837,3742114241
_gfmq,notih,zxcvb,ylupj,dreas,kw___,notihdreas,1147.653780,17.57%,←000.98%,36.84%,→002.38%,58111151723.24,←002.94%,→000.13%,1.76,←001.74%,1.77,1.74,09.02% │ 10.61% │ 10.52% │ 11.07% │ 09.51%,09.45% │ 11.78% │ 09.89% │ 09.89% │ 08.26%,07.62% │ 09.80% │ 14.31% │ 11.27% │ 06.40%,06.27% │ 12.49% │ 14.75% │ 10.42% │ 06.68%,←009.20% │ ←007.25% │ ←006.31% │ →006.07% │ ←000.67%,23.11%,65.26%,11.63%,→039.14% │ ←005.41% │ ←170.42%,50.72%,49.28%,49.40%,50.60%,29476369049.86,28634782673.38,8532485128,8740525325,6362964423,1524980112,1510139089,3720037073,3724898159
_ygdq,nitoh,zxcvw,blpuj,maesr,fk___,nitohmaesr,1147.362212,18.15%,→000.50%,36.60%,←000.83%,60566062526.34,←000.63%,←000.04%,1.76,→000.60%,1.76,1.77,08.79% │ 09.09% │ 10.43% │ 12.42% │ 09.42%,09.05% │ 13.49% │ 10.10% │ 08.94% │ 08.27%,07.62% │ 09.48% │ 14.17% │ 12.46% │ 06.47%,06.41% │ 13.28% │ 14.12% │ 09.23% │ 06.76%,←006.34% │ ←001.65% │ ←003.29% │ →007.89% │ ←004.11%,23.44%,64.19%,12.38%,→033.31% │ ←002.54% │ ←102.46%,50.16%,49.84%,50.21%,49.79%,30377618264.49,30188444261.85,8672071502,8600938951,6322058577,1563475489,1571403289,3743726837,3742114241
