keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,row_switch_ratio,row_switch_imbalance,hand_switch_ratio,hands_imbalance,roll_imbalance,mean_streak,streak_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,hand_switches,left_row_switch_cost,right_row_switch_cost,left_rolls,right_rolls,left_streak,right_streak
jbouy,_hedi,___kp,wlmfq,rntsa,gvcxz,qfmlwy,2031.281835,14.53%,30.29%,47.71%,18.69%,34.50%,1.48,0.90,42.21%,57.79%,44.85%,55.15%,35091487686.20,14812906639.90,20278581046.30,7746169567,9526840886,8240966000,1030846737,1478702059,2203301607,3363632048,1.40,1.55
_vuyb,hoeai,___pk,wlmgq,rntsd,jfcxz,qgmlwb,1957.794579,12.33%,74.92%,54.26%,0.56%,38.63%,1.35,1.12,47.75%,52.25%,50.14%,49.86%,33021273192.10,15767022188.80,17254251003.30,8660522657,8612487796,9372434139,1354698741,774466841,2576751845,1858713671,1.42,1.28
qwudp,asetg,zxcvb,jfyl_,hniro,km___,niro,1884.743648,17.73%,84.74%,43.38%,19.38%,27.09%,1.58,1.04,55.97%,44.03%,54.42%,45.58%,33052492952.70,18498521680.50,14553971272.20,9399385608,7873624845,7493399643,1986580956,1075344892,3533849632,2780650380,1.60,1.55
qlcpx,arenb,zwvhj,kfud_,gsito,ym___,arensito,1675.767089,20.49%,75.36%,40.03%,16.06%,54.47%,1.66,1.20,54.05%,45.95%,53.72%,46.28%,31923218059.30,17254260666.60,14668957392.70,9278521309,7994489144,6914611164,2253794541,1285261351,4184371859,2708916632,1.82,1.51
qwert,asdfg,zxcvb,yuio_,hjklp,nm___,qwerty,1654.117663,35.66%,7.34%,41.76%,39.27%,69.07%,1.62,1.12,56.10%,43.90%,58.21%,41.79%,43806394219.60,24575031710.40,19231362509.20,10054069906,7218940547,7212551654,3188343466,2970392052,4144206378,2451141623,1.70,1.51
qwdrf,asetg,zxcvb,jypl_,huiok,nm___,c-qwerty,1560.087919,25.10%,44.11%,41.76%,39.27%,69.07%,1.62,1.12,55.13%,44.87%,58.21%,41.79%,36770853897.80,20271651278.90,16499202618.90,10054069906,7218940547,7212551654,2559927025,1776393928,4144206378,2451141623,1.70,1.51
zlapk,wrenb,qymhj,xgid_,fsotu,vc___,arensito2,1558.486345,26.99%,77.86%,39.46%,18.22%,49.68%,1.68,1.17,55.51%,44.49%,54.17%,45.83%,30233921428.60,16782570521.40,13451350907.20,9357497221,7915513232,6816408925,2984089714,1677731752,4191264969,2800225761,1.81,1.55
___py,aoeui,_qjkx,fgcrl,dhtns,bmwvz,dvorak,1363.456575,10.80%,44.04%,56.55%,23.68%,47.32%,1.31,0.90,39.34%,60.66%,43.28%,56.72%,36838153298.90,14492423942.00,22345729356.90,7476450533,9796559920,9768709000,669487065,1196276843,1393642713,2645547942,1.23,1.37
qwerf,asdtg,zxcvb,jylk_,huoip,nm___,qwerf,1242.078460,26.81%,75.87%,41.76%,39.27%,69.07%,1.62,1.12,56.19%,43.81%,58.21%,41.79%,36878979690.10,20721621451.80,16157358238.30,10054069906,7218940547,7212551654,2952402349,1678787659,4144206378,2451141623,1.70,1.51
qwdrt,asefg,zxcvb,jykl_,huiop,nm___,c-qwerty-2,1087.737509,27.92%,87.24%,41.76%,39.27%,69.07%,1.62,1.12,59.22%,40.78%,58.21%,41.79%,41090341712.50,24333567676.70,16756774035.80,10054069906,7218940547,7212551654,3143378374,1678787659,4144206378,2451141623,1.70,1.51
qwdrf,asetg,zxcvb,jypl_,hunio,km___,c-qwerty-n,1008.083170,20.75%,149.76%,41.76%,39.27%,69.07%,1.62,1.12,59.50%,40.50%,58.21%,41.79%,34072302075.50,20271651278.90,13800650796.60,10054069906,7218940547,7212551654,2559927025,1024965107,4144206378,2451141623,1.70,1.51
tnwml,sgxjf,eadio,cbpr_,kqzvh,yu___,tnwmlc,18.812903,62.50%,1194.04%,32.81%,202.62%,1005.17%,1.89,1.98,80.65%,19.35%,75.16%,24.84%,59122832405.20,47680502420.70,11442329984.50,12982819332,4290191121,5667142256,10021832792,774458181,7465269920,675487479,2.35,1.19
